date,market,code,name,open,high,low,close,change,volume,value,transactions
2024-05-16,TWSE,0050,元大台灣50,168.95,169.75,167.10,167.45,0.80,12586120,2119619590,12459
2024-05-16,TWSE,0051,元大中型100,79.80,80.35,79.80,80.10,0.70,67143,5383352,300
2024-05-16,TWSE,0052,富邦科技,163.55,164.45,161.90,161.90,0.25,533923,87083659,761
2024-05-16,TWSE,0053,元大電子,91.40,91.40,90.30,90.30,0.55,17534,1590544,81
2024-05-16,TWSE,0055,元大MSCI金融,26.68,26.93,26.68,26.80,0.18,504569,13551513,518
2024-05-16,TWSE,0056,元大高股息,39.50,39.67,39.50,39.60,0.30,25323311,1003163892,13627
2024-05-16,TWSE,0057,富邦摩台,125.00,125.10,123.60,123.60,0.55,43988,5477225,61
2024-05-16,TWSE,0061,元大寶滬深,17.76,17.88,17.74,17.85,0.02,262580,4677496,174
2024-05-16,TWSE,006203,元大MSCI台灣,79.80,79.80,79.80,79.80,0.35,2285,182086,93
2024-05-16,TWSE,006204,永豐臺灣加權,107.10,107.10,106.30,106.30,0.45,7540,802991,106
2024-05-16,TWSE,006205,富邦上証,30.25,30.47,30.21,30.40,0.09,821126,24920486,345
2024-05-16,TWSE,006206,元大上證50,29.01,29.22,28.94,29.20,0.01,167656,4876152,138
2024-05-16,TWSE,006207,復華滬深,23.10,23.14,22.98,23.12,0.02,125542,2898228,103
2024-05-16,TWSE,006208,富邦台50,98.70,99.30,97.85,98.10,0.60,8278182,815870172,10428
2024-05-16,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2024-05-16,TWSE,00631L,元大台灣50正2,216.30,217.90,213.30,214.15,2.75,3742206,806820213,3479
2024-05-16,TWSE,00632R,元大台灣50反1,3.69,3.72,3.67,3.71,-0.02,216181359,798221896,9788
2024-05-16,TWSE,00633L,富邦上証正2,35.67,36.11,35.22,35.98,0.40,5824369,207814984,1233
2024-05-16,TWSE,00634R,富邦上証反1,4.52,4.53,4.48,4.49,-0.02,284000,1281410,16
2024-05-16,TWSE,00635U,期元大S&P黃金,28.40,28.45,28.29,28.39,0.41,869506,24643700,299
2024-05-16,TWSE,00636,國泰中國A50,20.92,21.17,20.87,21.13,0.19,1661752,35006168,539
2024-05-16,TWSE,00636K,國泰中國A50+U,6.62,6.62,6.62,6.62,0.07,200,1324,2
2024-05-16,TWSE,00637L,元大滬深300正2,14.30,14.48,14.13,14.42,0.16,67790370,970146445,6156
