date,market,code,name,open,high,low,close,change,volume,value,transactions
2024-12-26,TWSE,0050,元大台灣50,198.40,198.50,198.00,198.25,-0.15,5000930,991798012,7692
2024-12-26,TWSE,0051,元大中型100,77.85,77.85,77.60,77.70,0.10,41492,3223857,278
2024-12-26,TWSE,0052,富邦科技,196.00,196.00,195.50,195.85,0.35,352482,69026208,1403
2024-12-26,TWSE,0053,元大電子,104.30,104.80,104.30,104.80,0.45,13232,1379702,125
2024-12-26,TWSE,0055,元大MSCI金融,28.43,28.44,28.29,28.35,0.00,72792,2065109,328
2024-12-26,TWSE,0056,元大高股息,37.00,37.13,37.00,37.09,0.10,17166213,636398661,12607
2024-12-26,TWSE,0057,富邦摩台,145.35,145.50,145.35,145.50,0.30,16135,2343847,79
2024-12-26,TWSE,0061,元大寶滬深,19.68,19.69,19.59,19.64,0.04,415981,8176460,248
2024-12-26,TWSE,006203,元大MSCI台灣,92.85,92.90,92.85,92.90,0.20,4552,422092,107
2024-12-26,TWSE,006204,永豐臺灣加權,116.55,116.55,116.55,116.55,0.30,5351,622499,120
2024-12-26,TWSE,006205,富邦上証,33.55,33.70,33.50,33.60,0.05,245206,8230962,276
2024-12-26,TWSE,006206,元大上證50,31.88,32.10,31.80,31.89,0.01,93153,2968380,197
2024-12-26,TWSE,006207,復華滬深,25.67,25.67,25.50,25.62,0.09,24172,618262,141
2024-12-26,TWSE,006208,富邦台50,114.95,115.05,114.85,115.00,0.10,5822095,669420713,8695
2024-12-26,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2024-12-26,TWSE,00631L,元大台灣50正2,245.55,246.30,244.55,244.80,-0.60,1787637,438443340,2245
2024-12-26,TWSE,00632R,元大台灣50反1,22.65,22.71,22.64,22.66,-0.01,6206458,140680760,1129
2024-12-26,TWSE,00633L,富邦上証正2,41.80,41.89,41.20,41.26,-0.38,4708041,195010499,864
2024-12-26,TWSE,00634R,富邦上証反1,3.96,3.97,3.95,3.97,0.02,129000,510020,7
2024-12-26,TWSE,00635U,期元大S&P黃金,29.91,30.05,29.91,30.02,0.11,352596,10585969,229
2024-12-26,TWSE,00636,國泰中國A50,23.25,23.44,23.25,23.34,-0.06,481656,11241941,312
2024-12-26,TWSE,00636K,國泰中國A50+U,7.16,7.16,7.16,7.16,-0.03,200,1432,2
2024-12-26,TWSE,00637L,元大滬深300正2,16.90,16.98,16.71,16.71,-0.14,46046922,772663561,4783
2024-12-26,TWSE,00638R,元大滬深300反1,8.32,8.38,8.32,8.38,0.04,298000,2489670,30
2024-12-26,TWSE,00639,富邦深100,12.22,12.30,12.20,12.26,0.04,624229,7654076,305
2024-12-26,TWSE,00640L,富邦日本正2,53.50,54.20,53.45,54.20,1.80,601569,32346933,266
2024-12-26,TWSE,00641R,富邦日本反1,6.06,6.07,6.03,6.04,-0.07,938464,5679295,119
2024-12-26,TWSE,00642U,期元大S&P石油,16.72,16.76,16.68,16.69,0.06,1944592,32532876,427
2024-12-26,TWSE,00643,群益深証中小,13.23,13.32,13.19,13.28,0.05,6693853,88823052,254
2024-12-26,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2024-12-26,TWSE,00645,富邦日本,37.91,38.14,37.90,38.13,0.58,766793,29131697,435
2024-12-26,TWSE,00646,元大S&P500,61.80,61.90,61.70,61.90,0.10,1997907,123570651,1371
2024-12-26,TWSE,00647L,元大S&P500正2,102.80,103.25,102.80,103.10,-0.05,185118,19077907,140
2024-12-26,TWSE,00648R,元大S&P500反1,5.08,5.09,5.08,5.08,0.00,365133,1856146,36
2024-12-26,TWSE,00650L,復華香港正2,12.40,12.43,12.29,12.31,-0.05,2837140,35070942,417
2024-12-26,TWSE,00651R,復華香港反1,7.43,7.48,7.43,7.44,0.02,62000,461310,10
2024-12-26,TWSE,00652,富邦印度,37.66,37.72,37.53,37.54,-0.09,443241,16676968,468
2024-12-26,TWSE,00653L,富邦印度正2,58.00,58.05,57.50,57.65,-0.20,197613,11427106,148
2024-12-26,TWSE,00654R,富邦印度反1,6.61,6.66,6.61,6.66,0.05,103000,684370,9
2024-12-26,TWSE,00655L,國泰中國A50正2,28.21,28.36,27.88,27.98,-0.20,3303774,92622637,466
2024-12-26,TWSE,00656R,國泰中國A50反1,7.34,7.39,7.34,7.38,0.03,108048,796422,20
2024-12-26,TWSE,00657,國泰日經225,45.93,46.22,45.93,46.22,0.63,58631,2699275,142
2024-12-26,TWSE,00657K,國泰日經225+U,14.11,14.11,14.11,14.11,0.13,200,2822,2
2024-12-26,TWSE,00660,元大歐洲50,35.09,35.09,35.09,35.09,0.00,4612,161611,74
2024-12-26,TWSE,00661,元大日經225,49.98,50.45,49.98,50.45,0.81,198437,9959677,289
2024-12-26,TWSE,00662,富邦NASDAQ,91.95,92.15,91.80,92.05,0.00,4565507,420229918,1472
2024-12-26,TWSE,00663L,國泰臺灣加權正2,224.40,224.40,223.65,223.80,0.15,8104,1813804,49
2024-12-26,TWSE,00664R,國泰臺灣加權反1,3.66,3.67,3.65,3.67,0.00,3227440,11820229,223
