date,market,code,name,open,high,low,close,change,volume,value,transactions
2024-12-12,TWSE,0050,元大台灣50,194.90,195.75,194.45,195.15,2.25,5328062,1039959396,7996
2024-12-12,TWSE,0051,元大中型100,80.00,80.00,77.85,78.10,0.40,251878,19716527,363
2024-12-12,TWSE,0052,富邦科技,190.85,192.50,190.85,191.60,2.05,477273,91551962,836
2024-12-12,TWSE,0053,元大電子,103.60,103.60,103.45,103.45,1.35,7308,755195,100
2024-12-12,TWSE,0055,元大MSCI金融,28.55,28.82,28.55,28.80,0.34,161589,4634515,272
2024-12-12,TWSE,0056,元大高股息,37.00,37.11,36.96,37.02,0.11,12261951,454322744,10871
2024-12-12,TWSE,0057,富邦摩台,142.85,143.65,142.85,143.65,1.90,10319,1479352,80
2024-12-12,TWSE,0061,元大寶滬深,19.89,20.02,19.78,19.97,0.19,651717,12977154,256
2024-12-12,TWSE,006203,元大MSCI台灣,91.70,92.05,91.70,92.05,1.30,4516,414067,99
2024-12-12,TWSE,006204,永豐臺灣加權,115.65,115.65,115.65,115.65,1.05,3544,409255,87
2024-12-12,TWSE,006205,富邦上証,33.70,33.98,33.59,33.84,0.14,344192,11638084,173
2024-12-12,TWSE,006206,元大上證50,31.53,32.07,31.53,31.85,0.15,143732,4574249,118
2024-12-12,TWSE,006207,復華滬深,25.59,25.89,25.59,25.81,0.19,216677,5569999,117
2024-12-12,TWSE,006208,富邦台50,112.80,113.50,112.70,113.15,1.25,6481828,733959558,9402
2024-12-12,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2024-12-12,TWSE,00631L,元大台灣50正2,241.85,243.95,241.30,241.40,4.15,3745112,908142652,3669
2024-12-12,TWSE,00632R,元大台灣50反1,22.90,22.90,22.78,22.88,-0.24,24075906,550033414,4075
2024-12-12,TWSE,00633L,富邦上証正2,40.95,41.94,40.65,41.63,0.84,9097637,376773969,2026
2024-12-12,TWSE,00634R,富邦上証反1,3.98,3.98,3.92,3.94,-0.04,261012,1026632,44
2024-12-12,TWSE,00635U,期元大S&P黃金,31.31,31.31,31.10,31.14,0.10,1546665,48219844,482
2024-12-12,TWSE,00636,國泰中國A50,23.35,23.64,23.27,23.53,0.16,1255326,29449264,423
2024-12-12,TWSE,00636K,國泰中國A50+U,7.23,7.23,7.23,7.23,0.03,200,1446,2
2024-12-12,TWSE,00637L,元大滬深300正2,16.56,17.00,16.47,16.86,0.35,96735311,1617248900,10055
2024-12-12,TWSE,00638R,元大滬深300反1,8.41,8.42,8.29,8.33,-0.09,719146,5997685,92
2024-12-12,TWSE,00639,富邦深100,12.40,12.55,12.38,12.50,0.07,1232605,15363288,300
2024-12-12,TWSE,00640L,富邦日本正2,55.05,55.20,54.65,54.65,1.15,461342,25337758,304
2024-12-12,TWSE,00641R,富邦日本反1,5.99,6.01,5.97,6.00,-0.07,911419,5454661,142
2024-12-12,TWSE,00642U,期元大S&P石油,16.61,16.62,16.58,16.62,0.31,13076657,217163900,1895
2024-12-12,TWSE,00643,群益深証中小,13.50,13.58,13.44,13.54,0.05,4313434,58301062,284
2024-12-12,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2024-12-12,TWSE,00645,富邦日本,38.25,38.43,38.24,38.24,0.40,451126,17286323,282
2024-12-12,TWSE,00646,元大S&P500,61.80,61.80,61.70,61.80,0.40,2161386,133489030,1738
2024-12-12,TWSE,00647L,元大S&P500正2,105.00,105.15,104.85,104.95,1.25,229355,24080740,117
2024-12-12,TWSE,00648R,元大S&P500反1,5.03,5.04,5.03,5.04,-0.03,1035773,5212177,64
2024-12-12,TWSE,00650L,復華香港正2,12.48,12.79,12.32,12.67,0.18,22970723,287511793,2355
2024-12-12,TWSE,00651R,復華香港反1,7.37,7.42,7.28,7.31,-0.05,956863,7011449,119
2024-12-12,TWSE,00652,富邦印度,39.11,39.13,38.95,38.98,-0.13,485492,18952065,221
2024-12-12,TWSE,00653L,富邦印度正2,62.50,62.55,62.15,62.15,-0.20,116357,7257250,95
2024-12-12,TWSE,00654R,富邦印度反1,6.38,6.39,6.38,6.39,0.00,37000,236190,7
2024-12-12,TWSE,00655L,國泰中國A50正2,27.75,28.50,27.57,28.26,0.60,4924928,138061140,921
2024-12-12,TWSE,00656R,國泰中國A50反1,7.41,7.42,7.31,7.32,-0.11,1431033,10556873,90
2024-12-12,TWSE,00657,國泰日經225,46.91,46.91,46.65,46.65,0.55,77129,3603978,135
2024-12-12,TWSE,00657K,國泰日經225+U,14.46,14.46,14.46,14.46,0.28,200,2892,2
2024-12-12,TWSE,00660,元大歐洲50,35.68,35.81,35.68,35.81,0.25,26888,959243,101
2024-12-12,TWSE,00661,元大日經225,51.00,51.20,50.90,50.95,0.70,292755,14949287,268
2024-12-12,TWSE,00662,富邦NASDAQ,91.00,91.10,90.85,90.95,1.40,4954024,450823835,1445
2024-12-12,TWSE,00663L,國泰臺灣加權正2,220.85,222.40,220.30,220.30,3.65,45068,9960203,19
2024-12-12,TWSE,00664R,國泰臺灣加權反1,3.70,3.71,3.68,3.71,-0.03,9515238,35143160,424
2024-12-12,TWSE,00665L,富邦恒生國企正2,8.41,8.70,8.34,8.59,0.13,66884213,568157228,5208
2024-12-12,TWSE,00666R,富邦恒生國企反1,12.19,12.20,11.94,12.00,-0.13,162077,1963056,68
2024-12-12,TWSE,00668,國泰美國道瓊,52.10,52.20,52.00,52.10,-0.20,380600,19830005,258
2024-12-12,TWSE,00668K,國泰美國道瓊+U,16.04,16.04,16.04,16.04,-0.04,200,3208,2
2024-12-12,TWSE,00669R,國泰美國道瓊反1,6.42,6.43,6.41,6.42,0.02,3038000,19499520,164
2024-12-12,TWSE,00670L,富邦NASDAQ正2,143.20,143.40,143.20,143.25,4.25,1111686,159296667,645
2024-12-12,TWSE,00671R,富邦NASDAQ反1,3.41,3.41,3.40,3.41,-0.05,7363848,25065765,330
2024-12-12,TWSE,00673R,期元大S&P原油反1,7.40,7.42,7.39,7.40,-0.14,37001043,274019411,2377
2024-12-12,TWSE,00674R,期元大S&P黃金反1,9.25,9.30,9.24,9.29,-0.05,933520,8649264,133
2024-12-12,TWSE,00675L,富邦臺灣加權正2,96.60,97.40,96.30,96.30,1.60,3095507,299664583,2593
2024-12-12,TWSE,00676R,富邦臺灣加權反1,2.06,2.07,2.05,2.07,0.00,3320300,6827527,142
2024-12-12,TWSE,00678,群益那斯達克生技,29.39,29.39,29.34,29.38,-0.11,615074,18060616,116
2024-12-12,TWSE,00680L,元大美債20正2,8.29,8.29,8.23,8.25,-0.17,67970528,561504568,5554
2024-12-12,TWSE,00681R,元大美債20反1,20.50,20.56,20.48,20.55,0.22,135238,2774028,35
2024-12-12,TWSE,00682U,期元大美元指數,21.64,21.66,21.64,21.66,0.00,16120,349133,4
2024-12-12,TWSE,00683L,期元大美元指正2,23.90,23.94,23.90,23.94,0.07,236007,5643879,21
2024-12-12,TWSE,00684R,期元大美元指反1,14.91,14.91,14.90,14.90,-0.04,9000,134130,3
2024-12-12,TWSE,00685L,群益臺灣加權正2,86.15,86.90,85.90,86.05,1.50,572552,49462317,426
2024-12-12,TWSE,00686R,群益臺灣加權反1,2.23,2.24,2.23,2.24,-0.01,1070799,2388882,40
2024-12-12,TWSE,00688L,國泰20年美債正2,8.23,8.25,8.19,8.20,-0.18,28039252,230441140,2718
2024-12-12,TWSE,00689R,國泰20年美債反1,21.27,21.30,21.26,21.30,0.24,24000,510930,6
2024-12-12,TWSE,00690,兆豐藍籌30,34.65,35.00,34.65,34.84,0.38,993453,34664777,412
2024-12-12,TWSE,00692,富邦公司治理,44.70,44.90,44.50,44.80,0.47,1147054,51403050,1207
2024-12-12,TWSE,00693U,期街口S&P黃豆,20.00,20.07,19.98,20.06,0.02,57611,1153739,34
2024-12-12,TWSE,00700,富邦恒生國企,15.18,15.38,15.05,15.27,0.09,302436,4594009,175
2024-12-12,TWSE,00701,國泰股利精選30,29.44,29.54,29.44,29.50,0.03,459984,13561357,216
2024-12-12,TWSE,00702,國泰標普低波高息,25.66,25.66,25.58,25.60,-0.15,28527,730689,87
2024-12-12,TWSE,00703,台新MSCI中國,17.45,17.74,17.43,17.61,0.11,242167,4242808,109
2024-12-12,TWSE,00706L,期元大S&P日圓正2,6.08,6.10,6.06,6.07,-0.06,6205567,37720613,816
2024-12-12,TWSE,00707R,期元大S&P日圓反1,,,,,0.00,0,0,0
2024-12-12,TWSE,00708L,期元大S&P黃金正2,42.87,42.88,42.35,42.46,0.33,1550699,65996050,435
2024-12-12,TWSE,00709,富邦歐洲,29.66,29.68,29.58,29.58,0.00,110503,3272865,20
2024-12-12,TWSE,00710B,復華彭博非投等債,20.08,20.09,20.06,20.06,0.00,204679,4107267,47
2024-12-12,TWSE,00711B,復華彭博新興債,16.80,16.80,16.75,16.75,-0.08,194123,3255229,99
2024-12-12,TWSE,00712,復華富時不動產,9.84,9.84,9.81,9.82,-0.01,11896027,116852294,2337
2024-12-12,TWSE,00713,元大台灣高息低波,55.95,56.00,55.80,55.80,0.00,10454668,584470514,7669
2024-12-12,TWSE,00714,群益道瓊美國地產,21.86,21.86,21.83,21.85,-0.05,361804,7905337,120
2024-12-12,TWSE,00715L,期街口布蘭特正2,13.15,13.22,13.13,13.21,0.35,120034522,1580765712,9168
2024-12-12,TWSE,00717,富邦美國特別股,16.33,16.35,16.32,16.32,0.00,948384,15486688,118
2024-12-12,TWSE,00728,第一金工業30,32.68,32.76,32.54,32.56,0.04,227594,7441703,193
2024-12-12,TWSE,00730,富邦臺灣優質高息,22.45,22.57,22.41,22.42,0.00,308216,6937511,262
2024-12-12,TWSE,00731,復華富時高息低波,68.35,68.50,68.10,68.20,0.00,475465,32466434,724
2024-12-12,TWSE,00733,富邦臺灣中小,53.30,53.80,53.05,53.10,0.00,832429,44452268,2305
2024-12-12,TWSE,00735,國泰臺韓科技,32.94,32.97,32.82,32.89,0.32,154877,5095451,155
2024-12-12,TWSE,00736,國泰新興市場,24.05,24.13,24.05,24.13,0.19,102220,2466449,11
2024-12-12,TWSE,00737,國泰AI機器人,33.89,33.93,33.85,33.93,0.05,71852,2435834,130
2024-12-12,TWSE,00738U,期元大道瓊白銀,28.93,28.95,28.78,28.93,0.27,868907,25099184,315
2024-12-12,TWSE,00739,元大MSCI A股,23.20,23.45,23.20,23.26,0.12,92619,2157313,73
2024-12-12,TWSE,00752,中信中國50,21.15,21.52,21.10,21.37,0.21,3070626,65498059,686
2024-12-12,TWSE,00753L,中信中國50正2,9.17,9.39,9.04,9.32,0.22,39667386,365420604,4434
2024-12-12,TWSE,00757,統一FANG+,104.45,104.50,104.15,104.35,2.85,6342320,662206265,4400
2024-12-12,TWSE,00762,元大全球AI,72.90,73.40,72.90,73.40,1.75,312910,22944470,396
2024-12-12,TWSE,00763U,期街口道瓊銅,25.62,25.81,25.60,25.78,0.04,292253,7527317,46
2024-12-12,TWSE,00770,國泰北美科技,52.50,52.75,52.30,52.50,0.70,1115622,58536208,561
2024-12-12,TWSE,00771,元大US高息特別股,17.92,17.95,17.92,17.95,-0.03,10921,195856,77
2024-12-12,TWSE,00775B,台新投等債15+,,,,,0.00,30,1043,1
2024-12-12,TWSE,00783,富邦中証500,20.77,20.96,20.75,20.91,0.12,102838,2147552,122
2024-12-12,TWSE,00830,國泰費城半導體,45.80,45.99,45.80,45.90,0.87,5264426,241738890,1915
2024-12-12,TWSE,00850,元大臺灣ESG永續,45.50,45.83,45.50,45.63,0.34,517709,23651336,933
2024-12-12,TWSE,00851,台新全球AI,52.40,53.05,52.40,53.00,0.95,20568,1088724,106
2024-12-12,TWSE,00852L,國泰美國道瓊正2,29.09,29.09,29.02,29.05,-0.24,957711,27828829,292
2024-12-12,TWSE,00861,元大全球未來通訊,43.60,43.60,43.44,43.46,0.59,54746,2378679,113
2024-12-12,TWSE,00865B,國泰US短期公債,46.62,46.65,46.62,46.62,-0.01,185870,8668527,123
2024-12-12,TWSE,00875,國泰網路資安,38.19,38.25,38.18,38.24,0.31,263194,10061361,108
2024-12-12,TWSE,00876,元大全球5G,37.85,38.03,37.72,37.84,0.27,88216,3342404,161
2024-12-12,TWSE,00878,國泰永續高股息,22.20,22.29,22.18,22.25,0.08,28292967,629600889,17602
2024-12-12,TWSE,00881,國泰台灣科技龍頭,24.65,24.79,24.62,24.62,0.22,7450084,184023273,2183
2024-12-12,TWSE,00882,中信中國高股息,13.05,13.17,12.96,13.12,0.08,12569865,164438096,2977
2024-12-12,TWSE,00885,富邦越南,11.80,11.82,11.76,11.78,-0.02,2281770,26903696,668
2024-12-12,TWSE,00891,中信關鍵半導體,17.81,17.97,17.80,17.83,0.19,4647340,83154948,1603
2024-12-12,TWSE,00892,富邦台灣半導體,17.46,17.60,17.46,17.48,0.19,2630219,46089027,463
2024-12-12,TWSE,00893,國泰智能電動車,25.90,26.29,25.90,26.19,0.68,6833013,179000478,2546
2024-12-12,TWSE,00894,中信小資高價30,21.10,21.17,21.03,21.03,0.17,832330,17575293,332
2024-12-12,TWSE,00895,富邦未來車,32.42,32.48,32.39,32.41,0.54,1133539,36741457,978
2024-12-12,TWSE,00896,中信綠能及電動車,17.82,17.89,17.76,17.77,0.07,719210,12824751,396
2024-12-12,TWSE,00897,富邦基因免疫生技,8.22,8.22,8.19,8.20,-0.10,1021284,8379299,168
2024-12-12,TWSE,00898,國泰基因免疫革命,7.40,7.40,7.33,7.33,-0.09,254412,1869217,116
2024-12-12,TWSE,00899,FT潔淨能源,14.36,14.36,14.31,14.34,-0.11,92368,1323465,98
2024-12-12,TWSE,00900,富邦特選高股息30,14.24,14.30,14.22,14.26,0.06,3668141,52335629,1485
2024-12-12,TWSE,00901,永豐智能車供應鏈,20.45,20.58,20.45,20.47,0.19,682153,14001080,222
2024-12-12,TWSE,00902,中信電池及儲能,10.14,10.25,10.14,10.24,0.10,1318674,13483212,265
2024-12-12,TWSE,00903,富邦元宇宙,15.88,15.88,15.81,15.81,0.01,566840,8978718,166
2024-12-12,TWSE,00904,台新臺灣半導體30,18.04,18.23,18.04,18.10,0.23,898917,16324199,290
2024-12-12,TWSE,00905,FT臺灣Smart,13.78,13.85,13.78,13.82,0.11,4479400,61913009,1314
2024-12-12,TWSE,00907,永豐優息存股,16.10,16.16,16.08,16.13,0.06,1302939,21017798,499
2024-12-12,TWSE,00908,富邦入息REITs+,12.63,12.63,12.60,12.61,-0.03,490609,6185956,109
2024-12-12,TWSE,00909,國泰數位支付服務,35.45,35.59,35.39,35.40,0.86,5967312,211479609,4538
2024-12-12,TWSE,00910,第一金太空衛星,28.06,28.08,27.96,28.00,0.16,893093,25017719,2119
2024-12-12,TWSE,00911,兆豐洲際半導體,25.80,25.80,25.61,25.73,0.03,295347,7595036,556
2024-12-12,TWSE,00912,中信臺灣智慧50,19.26,19.41,19.26,19.33,0.13,760306,14728021,545
2024-12-12,TWSE,00913,兆豐台灣晶圓製造,20.58,20.77,20.58,20.63,0.19,297708,6152161,156
2024-12-12,TWSE,00915,凱基優選高股息30,26.04,26.04,25.94,25.95,0.08,23003965,597593713,7629
2024-12-12,TWSE,00916,國泰全球品牌50,26.05,26.21,26.05,26.18,0.24,492186,12892555,459
2024-12-12,TWSE,00917,中信特選金融,24.01,24.01,23.95,23.98,0.06,1075557,25794759,1709
2024-12-12,TWSE,00918,大華優利高填息30,24.47,24.47,24.29,24.32,0.03,53846805,1310519318,15467
2024-12-12,TWSE,00919,群益台灣精選高息,23.83,23.93,23.80,23.81,0.06,44967026,1072705923,16352
2024-12-12,TWSE,00920,富邦ESG綠色電力,13.38,13.38,13.37,13.37,-0.05,28829,385606,100
2024-12-12,TWSE,00921,兆豐龍頭等權重,18.12,18.16,18.05,18.07,-0.03,1011654,18306817,456
2024-12-12,TWSE,00922,國泰台灣領袖50,21.69,21.78,21.63,21.70,0.16,6748311,146616381,2615
2024-12-12,TWSE,00923,群益台ESG低碳50,21.78,21.83,21.72,21.73,0.16,3128046,68082785,1332
2024-12-12,TWSE,00924,復華S&P500成長,25.72,25.76,25.70,25.72,0.35,3294123,84772933,1420
2024-12-12,TWSE,00925,新光標普電動車,18.79,18.79,18.76,18.78,0.02,206008,3868848,8
2024-12-12,TWSE,00926,凱基全球菁英55,24.21,24.29,24.19,24.29,0.25,3912901,94852375,1074
2024-12-12,TWSE,00927,群益半導體收益,18.10,18.19,18.05,18.06,0.11,2573921,46637117,1022
2024-12-12,TWSE,00929,復華台灣科技優息,17.93,18.04,17.92,17.98,0.06,90757478,1633252418,14685
2024-12-12,TWSE,00930,永豐ESG低碳高息,18.23,18.29,18.20,18.21,0.06,2820905,51474454,892
2024-12-12,TWSE,00932,兆豐永續高息等權,15.64,15.71,15.59,15.59,0.00,2506142,39199462,1047
2024-12-12,TWSE,00934,中信成長高股息,18.24,18.30,18.21,18.22,0.03,9661733,176480655,1854
2024-12-12,TWSE,00935,野村臺灣新科技50,22.42,22.59,22.40,22.45,0.24,3728033,83898259,1278
