date,market,code,name,open,high,low,close,change,volume,value,transactions
2024-04-02,TWSE,0050,元大台灣50,158.45,159.65,158.40,159.65,2.25,7924481,1261718566,11341
2024-04-02,TWSE,0051,元大中型100,78.90,79.20,78.70,78.90,0.00,68914,5437500,233
2024-04-02,TWSE,0052,富邦科技,159.25,162.00,159.25,162.00,3.20,684014,110185077,726
2024-04-02,TWSE,0053,元大電子,86.80,87.00,86.80,86.90,1.60,21192,1841076,113
2024-04-02,TWSE,0055,元大MSCI金融,25.32,25.32,25.23,25.25,-0.07,188396,4765121,314
2024-04-02,TWSE,0056,元大高股息,39.62,39.93,39.61,39.88,0.29,22831822,909389617,12472
2024-04-02,TWSE,0057,富邦摩台,117.50,117.75,117.50,117.75,1.60,10531,1239247,66
2024-04-02,TWSE,0061,元大寶滬深,17.19,17.25,17.11,17.13,-0.06,345730,5940834,214
2024-04-02,TWSE,006203,元大MSCI台灣,75.50,75.75,75.50,75.75,0.70,8635,651804,115
2024-04-02,TWSE,006204,永豐臺灣加權,101.75,102.05,101.75,102.05,1.00,47218,4809334,109
2024-04-02,TWSE,006205,富邦上証,29.50,29.65,29.45,29.46,-0.09,525829,15524169,243
2024-04-02,TWSE,006206,元大上證50,28.33,28.40,28.24,28.24,-0.08,150348,4255554,132
2024-04-02,TWSE,006207,復華滬深,22.57,22.60,22.48,22.49,-0.08,26114,587901,75
2024-04-02,TWSE,006208,富邦台50,92.50,93.30,92.50,93.20,1.35,3622754,336939156,5244
2024-04-02,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2024-04-02,TWSE,00631L,元大台灣50正2,196.75,199.20,196.55,199.20,4.65,2040104,404070951,2136
2024-04-02,TWSE,00632R,元大台灣50反1,3.91,3.91,3.88,3.88,-0.05,195169545,759370909,9496
2024-04-02,TWSE,00633L,富邦上証正2,33.98,34.42,33.81,33.93,-0.26,7176450,244405354,1542
2024-04-02,TWSE,00634R,富邦上証反1,4.63,4.64,4.62,4.64,0.02,456000,2109830,13
2024-04-02,TWSE,00635U,期元大S&P黃金,26.85,26.93,26.79,26.91,-0.05,502846,13498905,238
2024-04-02,TWSE,00636,國泰中國A50,20.39,20.52,20.30,20.38,0.00,1327153,27079707,389
2024-04-02,TWSE,00636K,國泰中國A50+U,6.37,6.37,6.37,6.37,-0.03,200,1274,2
2024-04-02,TWSE,00637L,元大滬深300正2,13.65,13.74,13.49,13.55,-0.08,57454491,781067340,6310
2024-04-02,TWSE,00638R,元大滬深300反1,9.68,9.71,9.62,9.68,0.06,502201,4850519,52
2024-04-02,TWSE,00639,富邦深100,10.75,10.77,10.70,10.71,-0.03,654792,7027376,161
2024-04-02,TWSE,00640L,富邦日本正2,57.35,57.35,56.25,56.55,-0.70,3573246,202603320,804
2024-04-02,TWSE,00641R,富邦日本反1,6.51,6.56,6.51,6.53,0.00,1027693,6718246,93
2024-04-02,TWSE,00642U,期元大S&P石油,18.55,18.60,18.55,18.59,0.14,1642662,30511231,534
2024-04-02,TWSE,00643,群益深証中小,11.71,11.76,11.61,11.66,-0.06,1990648,23234722,241
2024-04-02,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2024-04-02,TWSE,00645,富邦日本,37.84,37.85,37.51,37.56,-0.27,2915829,109769468,1183
2024-04-02,TWSE,00646,元大S&P500,52.25,52.35,52.10,52.25,-0.15,1506690,78671242,1258
2024-04-02,TWSE,00647L,元大S&P500正2,83.50,83.60,83.40,83.40,-1.20,123049,10276328,96
2024-04-02,TWSE,00648R,元大S&P500反1,5.72,5.73,5.72,5.73,0.05,552000,3157780,53
2024-04-02,TWSE,00650L,復華香港正2,8.95,9.13,8.88,9.02,0.12,35788739,323264213,2544
2024-04-02,TWSE,00651R,復華香港反1,9.52,9.52,9.39,9.44,-0.17,781351,7374941,91
2024-04-02,TWSE,00652,富邦印度,36.93,36.93,36.78,36.79,-0.14,554284,20417412,356
2024-04-02,TWSE,00653L,富邦印度正2,57.85,58.20,57.65,57.80,-0.50,226876,13123309,114
2024-04-02,TWSE,00654R,富邦印度反1,6.79,6.82,6.79,6.81,0.02,335000,2280180,18
2024-04-02,TWSE,00655L,國泰中國A50正2,23.33,23.64,23.23,23.32,-0.18,4770436,111682280,772
2024-04-02,TWSE,00656R,國泰中國A50反1,8.70,8.72,8.66,8.71,0.04,186000,1615670,15
2024-04-02,TWSE,00657,國泰日經225,47.16,47.24,46.94,46.98,-0.15,635345,29881075,170
2024-04-02,TWSE,00657K,國泰日經225+U,14.66,14.66,14.66,14.66,-0.08,200,2932,2
2024-04-02,TWSE,00660,元大歐洲50,36.72,36.81,36.56,36.56,0.04,5980,219319,76
2024-04-02,TWSE,00661,元大日經225,51.30,51.35,51.15,51.20,0.05,1862653,95434494,351
2024-04-02,TWSE,00662,富邦NASDAQ,75.05,75.35,75.00,75.25,-0.15,1175215,88374644,1017
2024-04-02,TWSE,00663L,國泰臺灣加權正2,181.25,183.10,181.25,183.10,3.60,15008,2727480,7
2024-04-02,TWSE,00664R,國泰臺灣加權反1,4.42,4.43,4.39,4.39,-0.05,7129374,31402365,621
2024-04-02,TWSE,00665L,富邦恒生國企正2,5.86,5.94,5.77,5.90,0.07,74643565,439153771,3584
2024-04-02,TWSE,00666R,富邦恒生國企反1,16.01,16.01,15.82,15.88,-0.16,257500,4097735,26
2024-04-02,TWSE,00668,國泰美國道瓊,45.95,45.98,45.85,45.89,-0.38,58465,2684440,95
2024-04-02,TWSE,00668K,國泰美國道瓊+U,14.31,14.31,14.31,14.31,-0.15,200,2862,2
2024-04-02,TWSE,00669R,國泰美國道瓊反1,7.02,7.04,7.02,7.03,0.09,2086100,14660581,206
2024-04-02,TWSE,00670L,富邦NASDAQ正2,112.75,113.10,112.70,112.85,-1.35,911700,102896886,608
2024-04-02,TWSE,00671R,富邦NASDAQ反1,4.03,4.04,4.03,4.03,0.01,4489140,18097241,162
2024-04-02,TWSE,00673R,期元大S&P原油反1,7.16,7.16,7.14,7.16,-0.04,15930422,113943471,1674
2024-04-02,TWSE,00674R,期元大S&P黃金反1,11.02,11.05,10.98,11.01,0.02,496000,5469980,99
2024-04-02,TWSE,00675L,富邦臺灣加權正2,79.00,80.00,78.95,80.00,1.70,931385,74102763,801
2024-04-02,TWSE,00676R,富邦臺灣加權反1,2.45,2.45,2.43,2.44,-0.01,3599351,8782945,277
2024-04-02,TWSE,00678,群益那斯達克生技,27.94,27.99,27.94,27.95,-0.24,270552,7562682,84
2024-04-02,TWSE,00680L,元大美債20正2,8.78,8.80,8.75,8.76,-0.28,91162501,800242449,11205
2024-04-02,TWSE,00681R,元大美債20反1,20.22,20.25,20.21,20.25,0.32,69000,1395520,34
2024-04-02,TWSE,00682U,期元大美元指數,21.17,21.19,21.17,21.19,0.09,30000,635410,10
2024-04-02,TWSE,00683L,期元大美元指正2,22.91,22.93,22.90,22.90,0.24,272321,6239948,49
