date,market,code,name,open,high,low,close,change,volume,value,transactions
2022-07-13,TWSE,0050,元大台灣50,113.00,113.65,112.60,113.45,3.90,25339925,2868407778,18017
2022-07-13,TWSE,0051,元大中型100,50.80,50.90,50.40,50.75,1.14,28898,1467514,171
2022-07-13,TWSE,0052,富邦科技,93.00,93.40,92.50,93.10,3.45,606787,56425512,602
2022-07-13,TWSE,0053,元大電子,53.80,54.05,53.60,54.05,1.55,14223,765944,16
2022-07-13,TWSE,0055,元大MSCI金融,21.61,21.92,21.61,21.90,0.65,572686,12475606,548
2022-07-13,TWSE,0056,元大高股息,27.21,27.25,27.05,27.08,0.46,30798587,835811873,13191
2022-07-13,TWSE,0057,富邦摩台,78.85,79.00,78.70,79.00,2.45,7002,550575,995
2022-07-13,TWSE,0061,元大寶滬深,20.59,20.68,20.50,20.64,0.05,96824,1992977,945
2022-07-13,TWSE,006203,元大MSCI台灣,54.60,54.60,54.30,54.45,1.60,6276,340779,799
2022-07-13,TWSE,006204,永豐臺灣加權,73.70,73.70,73.20,73.20,1.90,24529,1795389,871
2022-07-13,TWSE,006205,富邦上証,34.18,34.19,33.86,34.02,-0.16,450452,15353533,196
2022-07-13,TWSE,006206,元大上證50,33.01,33.01,32.82,32.89,-0.09,73615,2421487,48
2022-07-13,TWSE,006207,復華滬深,27.15,27.22,26.96,27.17,-0.01,294036,7975439,26
2022-07-13,TWSE,006208,富邦台50,65.65,65.75,65.15,65.60,2.10,4589020,300742509,4436
2022-07-13,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2022-07-13,TWSE,00631L,元大台灣50正2,93.30,94.45,92.80,93.80,5.30,13676225,1282161311,5090
2022-07-13,TWSE,00632R,元大台灣50反1,6.13,6.16,6.09,6.12,-0.19,388024208,2373964741,17627
2022-07-13,TWSE,00633L,富邦上証正2,47.28,47.67,46.60,47.25,-0.03,7170403,337631976,1280
2022-07-13,TWSE,00634R,富邦上証反1,4.25,4.25,4.16,4.18,0.00,1608000,6744500,151
2022-07-13,TWSE,00635U,期元大S&P黃金,22.68,22.75,22.68,22.71,-0.03,164624,3740327,112
2022-07-13,TWSE,00636,國泰中國A50,23.50,23.57,23.32,23.51,0.07,280538,6579823,670
2022-07-13,TWSE,00636K,國泰中國A50+U,7.87,7.87,7.87,7.87,0.06,200,1574,2
2022-07-13,TWSE,00637L,元大滬深300正2,18.67,18.87,18.44,18.73,0.02,51520999,961528935,6831
2022-07-13,TWSE,00638R,元大滬深300反1,8.82,8.91,8.82,8.86,0.00,975100,8658586,118
2022-07-13,TWSE,00639,富邦深100,14.62,14.69,14.43,14.69,0.09,400823,5836428,761
2022-07-13,TWSE,00640L,富邦日本正2,26.70,26.70,26.52,26.57,0.15,132000,3507160,22
2022-07-13,TWSE,00641R,富邦日本反1,10.26,10.29,10.23,10.28,-0.02,377000,3866990,85
2022-07-13,TWSE,00642U,期元大S&P石油,18.93,19.21,18.91,19.17,-1.18,6939596,132420433,1665
2022-07-13,TWSE,00643,群益深証中小,17.18,17.18,16.90,17.11,-0.11,249682,4263277,1038
2022-07-13,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2022-07-13,TWSE,00645,富邦日本,25.07,25.08,25.01,25.01,0.06,57037,1427609,823
2022-07-13,TWSE,00646,元大S&P500,35.26,35.26,35.15,35.23,-0.10,292716,10304234,341
2022-07-13,TWSE,00647L,元大S&P500正2,51.00,51.10,50.80,51.05,-0.15,327070,16685070,80
2022-07-13,TWSE,00648R,元大S&P500反1,7.73,7.75,7.72,7.74,0.01,1343000,10386160,126
2022-07-13,TWSE,00650L,復華香港正2,16.29,16.46,16.18,16.23,-0.06,2102150,34296582,344
2022-07-13,TWSE,00651R,復華香港反1,8.36,8.40,8.34,8.39,-0.01,731999,6127865,56
2022-07-13,TWSE,00652,富邦印度,26.60,26.65,26.52,26.52,-0.09,73559,1957662,794
