date,market,code,name,open,high,low,close,change,volume,value,transactions
2022-06-16,TWSE,0050,元大台灣50,124.10,125.00,122.25,122.50,-0.25,13116110,1620183258,14401
2022-06-16,TWSE,0051,元大中型100,56.35,56.60,55.05,55.05,-0.45,33273,1864882,197
2022-06-16,TWSE,0052,富邦科技,103.95,104.15,101.90,101.90,-0.75,473263,48857623,527
2022-06-16,TWSE,0053,元大電子,60.00,60.00,59.00,59.00,-0.10,4996,296593,932
2022-06-16,TWSE,0055,元大MSCI金融,23.65,23.89,23.35,23.45,-0.01,1040250,24487480,604
2022-06-16,TWSE,0056,元大高股息,30.54,30.60,29.89,29.94,-0.45,64866086,1954322755,45568
2022-06-16,TWSE,0057,富邦摩台,87.15,87.25,86.35,86.35,0.15,24990,2160304,933
2022-06-16,TWSE,0061,元大寶滬深,20.34,20.40,20.17,20.17,-0.18,331330,6710276,832
2022-06-16,TWSE,006203,元大MSCI台灣,59.15,59.90,59.00,59.00,-0.10,20899,1240079,895
2022-06-16,TWSE,006204,永豐臺灣加權,81.45,81.45,79.50,79.50,-0.85,21125,1686615,894
2022-06-16,TWSE,006205,富邦上証,34.09,34.20,33.86,33.90,-0.19,844071,28691256,451
2022-06-16,TWSE,006206,元大上證50,32.90,32.90,32.69,32.70,-0.20,176305,5779698,1056
2022-06-16,TWSE,006207,復華滬深,26.94,27.21,26.65,26.65,-0.29,315598,8437445,38
2022-06-16,TWSE,006208,富邦台50,71.60,72.05,70.55,70.60,-0.20,4025822,287075644,5345
2022-06-16,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2022-06-16,TWSE,00631L,元大台灣50正2,114.65,115.15,109.45,109.45,-1.75,5518355,622531268,1851
2022-06-16,TWSE,00632R,元大台灣50反1,5.61,5.73,5.58,5.72,0.05,242698037,1371844422,9505
2022-06-16,TWSE,00633L,富邦上証正2,45.84,46.12,44.95,45.01,-1.20,11664524,529780129,2551
2022-06-16,TWSE,00634R,富邦上証反1,4.21,4.27,4.21,4.26,0.07,1328000,5641610,92
2022-06-16,TWSE,00635U,期元大S&P黃金,24.19,24.19,24.15,24.18,0.23,307831,7440853,125
2022-06-16,TWSE,00636,國泰中國A50,23.27,23.27,22.99,23.00,-0.29,1395820,32230104,1206
2022-06-16,TWSE,00636K,國泰中國A50+U,7.75,7.75,7.75,7.75,0.00,200,1550,2
2022-06-16,TWSE,00637L,元大滬深300正2,18.20,18.25,17.78,17.81,-0.47,91332089,1643369870,12960
2022-06-16,TWSE,00638R,元大滬深300反1,8.93,9.06,8.92,9.05,0.12,836600,7519288,177
2022-06-16,TWSE,00639,富邦深100,14.22,14.27,14.13,14.18,-0.09,898048,12753789,791
2022-06-16,TWSE,00640L,富邦日本正2,26.69,26.74,25.97,26.17,0.34,649000,17192970,201
2022-06-16,TWSE,00641R,富邦日本反1,10.25,10.37,10.22,10.36,-0.04,504000,5190230,99
2022-06-16,TWSE,00642U,期元大S&P石油,22.72,22.73,22.52,22.57,-0.54,4131019,93493424,864
2022-06-16,TWSE,00643,群益深証中小,16.80,16.98,16.80,16.90,0.01,283623,4792942,98
2022-06-16,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2022-06-16,TWSE,00645,富邦日本,25.01,25.12,24.82,24.82,0.21,144337,3598516,64
2022-06-16,TWSE,00646,元大S&P500,35.01,35.04,34.74,34.79,0.49,1004381,35088148,693
2022-06-16,TWSE,00647L,元大S&P500正2,51.00,51.25,50.10,50.15,1.21,449425,22777836,179
2022-06-16,TWSE,00648R,元大S&P500反1,7.74,7.83,7.73,7.83,-0.10,3878250,30142312,366
2022-06-16,TWSE,00650L,復華香港正2,16.90,17.00,16.17,16.22,-0.44,5624490,92879868,957
2022-06-16,TWSE,00651R,復華香港反1,8.28,8.45,8.20,8.45,0.12,354000,2951550,55
2022-06-16,TWSE,00652,富邦印度,26.59,26.71,26.35,26.38,-0.02,119451,3177037,928
2022-06-16,TWSE,00653L,富邦印度正2,35.86,36.02,35.34,35.38,-0.02,465120,16656386,172
2022-06-16,TWSE,00654R,富邦印度反1,8.98,9.14,8.98,9.14,0.07,181000,1642630,64
2022-06-16,TWSE,00655L,國泰中國A50正2,33.20,33.39,32.46,32.56,-0.84,3301307,108429432,872
2022-06-16,TWSE,00656R,國泰中國A50反1,8.03,8.14,8.02,8.14,0.13,210000,1701670,46
2022-06-16,TWSE,00657,國泰日經225,31.37,31.41,31.12,31.12,0.27,6000,187830,5
2022-06-16,TWSE,00657K,國泰日經225+U,10.45,10.45,10.45,10.45,0.09,200,2090,2
