date,market,code,name,open,high,low,close,change,volume,value,transactions
2025-12-11,TWSE,0050,元大台灣50,64.30,64.50,63.20,63.35,-0.70,101197570,6442627838,110925
2025-12-11,TWSE,0051,元大中型100,91.00,91.10,90.00,90.40,-0.20,50501,4568415,340
2025-12-11,TWSE,0052,富邦科技,37.28,37.28,36.44,36.55,-0.47,83069313,3050291577,57053
2025-12-11,TWSE,0053,元大電子,138.90,138.90,136.30,136.80,-1.75,15956,2190036,178
2025-12-11,TWSE,0055,元大MSCI金融,30.47,30.50,30.38,30.45,0.12,322246,9813192,435
2025-12-11,TWSE,0056,元大高股息,36.62,36.63,36.22,36.33,-0.26,34864754,1269009021,30246
2025-12-11,TWSE,0057,富邦摩台,188.15,188.15,185.00,185.10,-2.85,20781,3874019,132
2025-12-11,TWSE,0061,元大寶滬深,22.46,22.59,22.46,22.50,0.11,543000,12220991,191
2025-12-11,TWSE,006203,元大MSCI台灣,117.15,117.15,115.50,115.50,-0.50,4159,482437,117
2025-12-11,TWSE,006204,永豐臺灣加權,143.90,143.90,142.00,142.00,-1.95,5241,748056,95
2025-12-11,TWSE,006205,富邦上証,38.31,38.38,38.13,38.16,0.07,308690,11806127,194
2025-12-11,TWSE,006206,元大上證50,35.65,35.91,35.65,35.75,0.11,35824,1280638,138
2025-12-11,TWSE,006207,復華滬深,29.90,29.94,29.84,29.84,0.14,234809,7016384,116
2025-12-11,TWSE,006208,富邦台50,147.15,147.40,144.55,144.70,-1.80,4903750,714741336,18546
2025-12-11,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2025-12-11,TWSE,00631L,元大台灣50正2,353.80,353.80,342.50,343.00,-7.85,4815064,1667812083,10645
2025-12-11,TWSE,00632R,元大台灣50反1,16.70,16.96,16.70,16.95,0.18,65904876,1112160200,6890
2025-12-11,TWSE,00633L,富邦上証正2,49.28,49.48,48.78,48.78,0.18,2895826,142614085,548
2025-12-11,TWSE,00634R,富邦上証反1,3.23,3.25,3.23,3.25,-0.01,74000,240000,11
2025-12-11,TWSE,00635U,期元大S&P黃金,45.51,45.58,45.17,45.20,0.08,4336885,197017619,1768
2025-12-11,TWSE,00636,國泰中國A50,26.45,26.50,26.36,26.40,0.04,754512,19946714,204
2025-12-11,TWSE,00636K,國泰中國A50+U,8.52,8.52,8.52,8.52,0.04,200,1704,2
2025-12-11,TWSE,00637L,元大滬深300正2,20.15,20.25,19.98,19.98,0.09,31440116,632155584,3299
2025-12-11,TWSE,00638R,元大滬深300反1,6.87,6.91,6.85,6.91,-0.03,205050,1410927,48
2025-12-11,TWSE,00639,富邦深100,15.02,15.13,15.02,15.03,0.11,1170770,17650678,345
2025-12-11,TWSE,00640L,富邦日本正2,76.40,76.50,75.00,75.30,-0.90,344425,25947153,128
2025-12-11,TWSE,00641R,富邦日本反1,4.62,4.66,4.61,4.66,0.04,1491873,6931260,83
2025-12-11,TWSE,00642U,期元大S&P石油,15.40,15.40,15.28,15.29,0.00,1999821,30687846,491
2025-12-11,TWSE,00643,群益深証中小,16.34,16.38,16.23,16.24,-0.01,3768218,61488356,188
2025-12-11,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2025-12-11,TWSE,00645,富邦日本,47.40,47.40,46.86,47.00,-0.23,874878,41327702,315
2025-12-11,TWSE,00646,元大S&P500,67.20,67.20,66.70,66.85,-0.20,3010444,201591848,2516
2025-12-11,TWSE,00647L,元大S&P500正2,116.80,116.90,115.10,115.60,-0.65,118951,13771364,175
2025-12-11,TWSE,00648R,元大S&P500反1,4.34,4.37,4.33,4.37,0.01,758455,3299551,46
2025-12-11,TWSE,00650L,復華香港正2,17.35,17.70,17.30,17.31,0.23,6534657,114411367,1328
2025-12-11,TWSE,00651R,復華香港反1,5.29,5.36,5.29,5.36,-0.02,280001,1488345,29
2025-12-11,TWSE,00652,富邦印度,37.02,37.02,36.77,36.90,-0.12,396030,14608831,375
2025-12-11,TWSE,00653L,富邦印度正2,57.65,57.65,56.90,57.35,-0.15,330834,18936886,115
2025-12-11,TWSE,00654R,富邦印度反1,6.24,6.29,6.24,6.29,0.00,11002,69032,6
2025-12-11,TWSE,00655L,國泰中國A50正2,34.29,34.48,34.04,34.04,0.18,1014855,34788043,252
2025-12-11,TWSE,00656R,國泰中國A50反1,6.08,6.12,6.06,6.12,-0.01,624000,3793180,25
2025-12-11,TWSE,00657,國泰日經225,59.45,59.45,58.60,58.90,-0.30,706453,41537694,129
2025-12-11,TWSE,00657K,國泰日經225+U,18.89,18.89,18.89,18.89,-0.16,200,3778,2
2025-12-11,TWSE,00660,元大歐洲50,41.42,41.50,41.31,41.42,0.07,29114,1204429,107
2025-12-11,TWSE,00661,元大日經225,65.20,65.20,64.25,64.45,-0.35,697729,45034536,303
2025-12-11,TWSE,00662,富邦NASDAQ,102.80,102.85,101.75,102.30,-0.70,4162407,426346687,4712
2025-12-11,TWSE,00663L,國泰臺灣加權正2,46.19,46.19,44.73,44.77,-0.96,9560809,433082480,6263
2025-12-11,TWSE,00664R,國泰臺灣加權反1,2.70,2.75,2.70,2.75,0.04,13544535,36943849,587
2025-12-11,TWSE,00665L,富邦恒生國企正2,10.89,11.03,10.76,10.77,0.08,20002516,217991287,2545
2025-12-11,TWSE,00666R,富邦恒生國企反1,8.82,8.88,8.77,8.88,-0.03,105100,925310,20
2025-12-11,TWSE,00668,國泰美國道瓊,54.45,54.65,54.45,54.50,0.25,231528,12629094,105
2025-12-11,TWSE,00668K,國泰美國道瓊+U,17.55,17.55,17.55,17.55,0.17,200,3510,2
2025-12-11,TWSE,00669R,國泰美國道瓊反1,5.70,5.74,5.69,5.74,-0.02,1448981,8278771,137
2025-12-11,TWSE,00670L,富邦NASDAQ正2,167.10,167.10,163.35,164.75,-2.50,1133620,187576837,2556
2025-12-11,TWSE,00671R,富邦NASDAQ反1,2.81,2.85,2.81,2.85,0.03,4698029,13344555,247
2025-12-11,TWSE,00673R,期元大S&P原油反1,28.00,28.17,27.93,28.17,0.00,1276771,35750266,249
2025-12-11,TWSE,00674R,期元大S&P黃金反1,6.01,6.06,6.00,6.06,0.01,876159,5269224,91
2025-12-11,TWSE,00675L,富邦臺灣加權正2,140.20,140.45,136.00,136.10,-2.90,6253682,863672155,4327
2025-12-11,TWSE,00676R,富邦臺灣加權反1,9.18,9.32,9.18,9.32,0.10,2697771,24933337,274
2025-12-11,TWSE,00678,群益那斯達克生技,34.07,34.20,34.07,34.16,0.28,497731,17012411,1602
2025-12-11,TWSE,00680L,元大美債20正2,7.37,7.41,7.34,7.39,0.07,28509862,210211502,1398
2025-12-11,TWSE,00681R,元大美債20反1,20.56,20.56,20.54,20.55,-0.15,12000,246670,3
2025-12-11,TWSE,00682U,期元大美元指數,20.22,20.22,20.20,20.20,-0.14,3215,64986,12
2025-12-11,TWSE,00683L,期元大美元指正2,20.99,20.99,20.81,20.83,-0.29,381339,7946997,44
2025-12-11,TWSE,00684R,期元大美元指反1,15.63,15.63,15.60,15.61,0.09,103000,1608530,21
2025-12-11,TWSE,00685L,群益臺灣加權正2,125.80,125.85,122.05,122.10,-2.85,801515,98903726,1101
2025-12-11,TWSE,00686R,群益臺灣加權反1,1.65,1.68,1.64,1.68,0.02,2711096,4495490,136
2025-12-11,TWSE,00688L,國泰20年美債正2,7.34,7.39,7.32,7.37,0.07,12798109,94078713,681
2025-12-11,TWSE,00689R,國泰20年美債反1,21.37,21.39,21.34,21.34,-0.14,59017,1261224,10
2025-12-11,TWSE,00690,兆豐藍籌30,43.99,44.12,43.35,43.35,-0.48,1192447,52024133,415
2025-12-11,TWSE,00692,富邦公司治理,56.65,56.65,55.60,55.70,-0.55,2723879,152374716,2054
2025-12-11,TWSE,00693U,期街口S&P黃豆,20.97,21.03,20.92,20.97,0.11,1132833,23755968,256
2025-12-11,TWSE,00700,富邦恒生國企,18.15,18.25,18.08,18.10,0.14,305882,5559557,172
2025-12-11,TWSE,00701,國泰股利精選30,28.07,28.13,28.00,28.09,0.07,1301539,36523817,619
2025-12-11,TWSE,00702,國泰標普低波高息,22.80,22.81,22.77,22.78,0.03,111931,2549690,84
2025-12-11,TWSE,00703,台新MSCI中國,21.65,21.70,21.42,21.42,0.07,181481,3900822,87
2025-12-11,TWSE,00706L,期元大S&P日圓正2,20.80,20.88,20.80,20.82,0.19,1629230,33942827,377
