date,market,code,name,open,high,low,close,change,volume,value,transactions
2025-02-24,TWSE,0050,元大台灣50,196.15,196.40,195.50,196.20,-1.75,14227193,2788014198,37877
2025-02-24,TWSE,0051,元大中型100,80.30,80.50,80.00,80.45,-0.05,97460,7821038,328
2025-02-24,TWSE,0052,富邦科技,195.80,196.20,195.30,196.20,-1.75,468089,91626006,1267
2025-02-24,TWSE,0053,元大電子,104.45,105.20,104.40,105.20,-0.50,12366,1292961,129
2025-02-24,TWSE,0055,元大MSCI金融,29.04,29.04,28.90,28.96,-0.06,93307,2701123,231
2025-02-24,TWSE,0056,元大高股息,36.85,37.00,36.76,36.98,-0.02,26423573,975616020,18595
2025-02-24,TWSE,0057,富邦摩台,146.00,146.20,146.00,146.20,-1.00,12037,1756811,111
2025-02-24,TWSE,0061,元大寶滬深,19.95,20.03,19.82,19.83,0.01,742000,14771698,356
2025-02-24,TWSE,006203,元大MSCI台灣,91.50,91.50,90.95,91.10,-0.80,11538,1051858,107
2025-02-24,TWSE,006204,永豐臺灣加權,117.25,117.40,117.25,117.40,-0.75,5337,625778,134
2025-02-24,TWSE,006205,富邦上証,33.67,33.80,33.44,33.60,-0.01,1198851,40308281,390
2025-02-24,TWSE,006206,元大上證50,31.69,31.85,31.49,31.73,0.04,172460,5467662,149
2025-02-24,TWSE,006207,復華滬深,25.76,25.90,25.60,25.73,-0.03,210216,5412641,120
2025-02-24,TWSE,006208,富邦台50,115.30,115.35,114.85,115.20,-0.95,8494184,977924468,19755
2025-02-24,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2025-02-24,TWSE,00631L,元大台灣50正2,245.15,246.95,244.50,246.95,-3.50,3217552,790446097,4860
2025-02-24,TWSE,00632R,元大台灣50反1,22.47,22.50,22.40,22.40,0.14,20130681,451887959,2733
2025-02-24,TWSE,00633L,富邦上証正2,40.26,40.54,39.60,39.86,-0.34,7873247,315108104,1441
2025-02-24,TWSE,00634R,富邦上証反1,4.00,4.00,3.97,4.00,0.01,108000,430800,20
2025-02-24,TWSE,00635U,期元大S&P黃金,33.10,33.28,33.01,33.21,0.11,1067723,35387423,590
2025-02-24,TWSE,00636,國泰中國A50,23.36,23.46,23.20,23.29,-0.01,2006405,46739438,608
2025-02-24,TWSE,00636K,國泰中國A50+U,7.14,7.14,7.14,7.14,-0.02,200,1428,2
2025-02-24,TWSE,00637L,元大滬深300正2,16.31,16.45,16.09,16.17,-0.12,76343956,1240146727,8867
2025-02-24,TWSE,00638R,元大滬深300反1,8.44,8.49,8.40,8.47,0.05,375000,3166280,49
2025-02-24,TWSE,00639,富邦深100,12.52,12.59,12.41,12.42,-0.05,3227718,40292439,627
2025-02-24,TWSE,00640L,富邦日本正2,51.90,51.90,51.15,51.65,-1.20,656238,33726186,442
2025-02-24,TWSE,00641R,富邦日本反1,6.12,6.18,6.12,6.14,0.07,1936400,11903830,114
2025-02-24,TWSE,00642U,期元大S&P石油,16.99,17.04,16.97,16.98,-0.50,6162439,104691387,1842
2025-02-24,TWSE,00643,群益深証中小,14.11,14.23,14.01,14.02,-0.08,3705806,52307040,428
2025-02-24,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2025-02-24,TWSE,00645,富邦日本,37.21,37.30,37.10,37.27,-0.42,446981,16619125,351
