date,market,code,name,open,high,low,close,change,volume,value,transactions
2025-09-01,TWSE,0050,元大台灣50,52.15,52.45,51.75,52.00,-0.50,82748402,4299875144,96546
2025-09-01,TWSE,0051,元大中型100,84.30,84.30,82.65,83.05,-1.75,102540,8537519,567
2025-09-01,TWSE,0052,富邦科技,205.85,206.30,203.00,204.25,-2.75,477148,97480464,1886
2025-09-01,TWSE,0053,元大電子,114.75,114.75,112.90,112.95,-2.80,22006,2501024,139
2025-09-01,TWSE,0055,元大MSCI金融,29.59,29.85,29.59,29.79,0.18,102091,3037172,309
2025-09-01,TWSE,0056,元大高股息,34.98,34.99,34.52,34.66,-0.33,47459974,1646840295,40000
2025-09-01,TWSE,0057,富邦摩台,154.80,155.40,153.60,153.80,-2.25,25105,3878769,25
2025-09-01,TWSE,0061,元大寶滬深,21.54,21.59,21.44,21.47,0.05,841721,18104810,441
2025-09-01,TWSE,006203,元大MSCI台灣,95.60,95.85,94.90,94.95,-1.90,10591,1009060,111
2025-09-01,TWSE,006204,永豐臺灣加權,124.20,124.25,122.60,122.60,-2.25,24040,2977562,112
2025-09-01,TWSE,006205,富邦上証,36.72,37.01,36.72,36.93,0.39,1712818,63258563,460
2025-09-01,TWSE,006206,元大上證50,34.52,34.52,34.20,34.33,0.23,174295,5990645,192
2025-09-01,TWSE,006207,復華滬深,28.37,28.38,28.25,28.36,0.24,279628,7927160,67
2025-09-01,TWSE,006208,富邦台50,121.95,122.50,121.00,121.60,-1.15,5988342,728341908,16439
2025-09-01,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2025-09-01,TWSE,00631L,元大台灣50正2,256.50,258.60,250.50,252.80,-6.55,6429828,1630016790,8668
2025-09-01,TWSE,00632R,元大台灣50反1,19.91,20.13,19.82,20.05,0.24,62570993,1251805463,8017
2025-09-01,TWSE,00633L,富邦上証正2,47.70,48.00,46.73,46.89,-0.38,8585555,405872866,1308
2025-09-01,TWSE,00634R,富邦上証反1,3.31,3.35,3.31,3.34,0.00,389276,1298104,24
2025-09-01,TWSE,00635U,期元大S&P黃金,37.69,38.16,37.65,38.12,0.88,5225884,198130492,2308
2025-09-01,TWSE,00636,國泰中國A50,25.12,25.27,24.98,25.01,-0.02,2120022,53199781,596
2025-09-01,TWSE,00636K,國泰中國A50+U,8.22,8.22,8.22,8.22,-0.03,200,1644,2
2025-09-01,TWSE,00637L,元大滬深300正2,19.30,19.45,18.92,19.00,-0.13,66618698,1273646180,8405
2025-09-01,TWSE,00638R,元大滬深300反1,6.98,7.07,6.98,7.05,0.02,978383,6893170,81
2025-09-01,TWSE,00639,富邦深100,13.82,13.92,13.77,13.88,0.17,3550746,49114310,729
2025-09-01,TWSE,00640L,富邦日本正2,63.05,63.05,61.75,62.10,-0.90,445897,27723925,297
2025-09-01,TWSE,00641R,富邦日本反1,5.17,5.21,5.17,5.20,0.04,1066674,5544279,94
2025-09-01,TWSE,00642U,期元大S&P石油,16.39,16.39,16.31,16.34,-0.08,1001255,16351941,241
2025-09-01,TWSE,00643,群益深証中小,15.31,15.41,15.17,15.28,0.06,3589109,54752213,332
2025-09-01,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2025-09-01,TWSE,00645,富邦日本,42.68,42.70,42.36,42.47,-0.21,462629,19643113,411
2025-09-01,TWSE,00646,元大S&P500,61.90,62.05,61.75,61.75,-0.25,3889140,240658962,2859
2025-09-01,TWSE,00647L,元大S&P500正2,105.20,105.35,104.55,104.85,-0.90,120546,12644226,157
2025-09-01,TWSE,00648R,元大S&P500反1,4.57,4.58,4.56,4.58,0.03,436025,1991645,61
2025-09-01,TWSE,00650L,復華香港正2,17.10,17.49,17.10,17.39,0.60,10651134,184904034,2016
2025-09-01,TWSE,00651R,復華香港反1,5.52,5.52,5.41,5.43,-0.09,1314434,7135329,121
2025-09-01,TWSE,00652,富邦印度,35.31,35.50,35.31,35.45,-0.05,177379,6281187,292
2025-09-01,TWSE,00653L,富邦印度正2,53.60,53.90,53.45,53.90,0.10,173663,9308422,136
2025-09-01,TWSE,00654R,富邦印度反1,6.51,6.53,6.49,6.49,-0.02,222747,1450127,30
2025-09-01,TWSE,00655L,國泰中國A50正2,33.15,33.38,32.51,32.65,-0.25,3616951,119376700,538
2025-09-01,TWSE,00656R,國泰中國A50反1,6.18,6.25,6.18,6.25,0.07,296453,1844856,37
2025-09-01,TWSE,00657,國泰日經225,49.85,49.85,49.23,49.55,-0.65,119864,5934463,127
2025-09-01,TWSE,00657K,國泰日經225+U,16.20,16.20,16.20,16.20,-0.37,200,3240,2
2025-09-01,TWSE,00660,元大歐洲50,39.10,39.10,38.94,39.04,-0.14,18918,737669,131
2025-09-01,TWSE,00661,元大日經225,54.50,54.50,53.80,54.05,-0.80,120816,6536412,256
2025-09-01,TWSE,00662,富邦NASDAQ,92.35,92.50,91.80,91.85,-0.95,8530717,785507569,3756
2025-09-01,TWSE,00663L,國泰臺灣加權正2,33.55,33.80,32.74,33.07,-0.79,9342939,309812392,5320
2025-09-01,TWSE,00664R,國泰臺灣加權反1,3.21,3.26,3.20,3.25,0.05,18573655,60093666,891
2025-09-01,TWSE,00665L,富邦恒生國企正2,11.06,11.33,11.06,11.23,0.33,35544796,399145908,4066
2025-09-01,TWSE,00666R,富邦恒生國企反1,8.83,8.85,8.78,8.82,-0.14,166400,1464786,53
2025-09-01,TWSE,00668,國泰美國道瓊,50.85,51.00,50.75,50.80,0.15,392794,20002441,126
2025-09-01,TWSE,00668K,國泰美國道瓊+U,16.62,16.62,16.62,16.62,-0.03,200,3324,2
2025-09-01,TWSE,00669R,國泰美國道瓊反1,5.92,5.95,5.92,5.95,0.01,931720,5538155,111
2025-09-01,TWSE,00670L,富邦NASDAQ正2,144.60,144.65,143.10,143.25,-3.40,1387928,199774101,3259
2025-09-01,TWSE,00671R,富邦NASDAQ反1,3.07,3.10,3.07,3.10,0.04,18202978,56245558,590
2025-09-01,TWSE,00673R,期元大S&P原油反1,6.65,6.67,6.64,6.66,0.04,3109541,20706235,245
2025-09-01,TWSE,00674R,期元大S&P黃金反1,7.36,7.37,7.26,7.28,-0.17,6261406,45765061,811
2025-09-01,TWSE,00675L,富邦臺灣加權正2,102.00,102.95,99.65,100.65,-2.55,4419656,445868388,3675
2025-09-01,TWSE,00676R,富邦臺灣加權反1,10.94,11.06,10.88,10.99,0.12,2909605,31947668,366
2025-09-01,TWSE,00678,群益那斯達克生技,27.97,27.97,27.88,27.90,-0.03,306190,8539593,86
2025-09-01,TWSE,00680L,元大美債20正2,6.99,7.01,6.97,6.98,-0.10,43628822,304727587,2440
2025-09-01,TWSE,00681R,元大美債20反1,21.17,21.20,21.16,21.20,0.16,111000,2350020,9
2025-09-01,TWSE,00682U,期元大美元指數,19.99,19.99,19.99,19.99,0.00,5050,100940,3
2025-09-01,TWSE,00683L,期元大美元指正2,20.42,20.42,20.33,20.34,-0.11,389200,7933616,37
2025-09-01,TWSE,00684R,期元大美元指反1,15.82,15.83,15.78,15.83,0.06,27100,428492,9
2025-09-01,TWSE,00685L,群益臺灣加權正2,91.80,92.40,89.50,90.50,-2.15,850569,77058967,952
2025-09-01,TWSE,00686R,群益臺灣加權反1,1.96,1.98,1.95,1.97,0.02,2114743,4160981,669
2025-09-01,TWSE,00688L,國泰20年美債正2,6.97,6.98,6.94,6.95,-0.11,15343215,106816733,1280
2025-09-01,TWSE,00689R,國泰20年美債反1,21.87,21.91,21.87,21.88,0.20,119000,2602710,3
2025-09-01,TWSE,00690,兆豐藍籌30,37.89,37.89,37.20,37.37,-0.52,764944,28599627,394
2025-09-01,TWSE,00692,富邦公司治理,47.54,47.76,47.07,47.31,-0.48,1254675,59402367,1855
2025-09-01,TWSE,00693U,期街口S&P黃豆,20.64,20.68,20.58,20.68,0.12,1088390,22478362,239
2025-09-01,TWSE,00700,富邦恒生國企,17.86,18.14,17.86,18.06,0.36,603063,10879920,373
2025-09-01,TWSE,00701,國泰股利精選30,27.15,27.35,27.15,27.24,0.09,1790813,48770205,1053
2025-09-01,TWSE,00702,國泰標普低波高息,22.96,22.98,22.93,22.98,0.13,124543,2860312,92
2025-09-01,TWSE,00703,台新MSCI中國,21.22,21.36,21.22,21.32,0.42,303909,6474554,128
2025-09-01,TWSE,00706L,期元大S&P日圓正2,5.97,5.99,5.94,5.97,-0.01,3865035,23083847,288
2025-09-01,TWSE,00707R,期元大S&P日圓反1,,,,,0.00,0,0,0
2025-09-01,TWSE,00708L,期元大S&P黃金正2,60.80,62.25,60.65,62.15,2.85,5858306,359705131,2104
2025-09-01,TWSE,00709,富邦歐洲,33.31,33.31,33.17,33.22,-0.09,339614,11282974,269
2025-09-01,TWSE,00710B,復華彭博非投等債,18.74,18.86,18.74,18.82,0.03,149110,2806042,42
2025-09-01,TWSE,00711B,復華彭博新興債,15.64,15.67,15.60,15.60,-0.04,135160,2114333,81
2025-09-01,TWSE,00712,復華富時不動產,9.07,9.12,9.07,9.10,0.07,20891550,190190262,3924
2025-09-01,TWSE,00713,元大台灣高息低波,51.35,51.40,50.95,51.10,-0.25,8783217,449138494,9085
2025-09-01,TWSE,00714,群益道瓊美國地產,20.16,20.20,20.16,20.19,0.13,327154,6607334,115
2025-09-01,TWSE,00715L,期街口布蘭特正2,11.44,11.45,11.38,11.39,-0.10,14507014,165299916,1592
2025-09-01,TWSE,00717,富邦美國特別股,14.78,14.81,14.74,14.79,-0.02,63593,939946,133
2025-09-01,TWSE,00728,第一金工業30,32.30,32.31,31.86,31.95,-0.36,175759,5632819,263
2025-09-01,TWSE,00730,富邦臺灣優質高息,25.84,25.97,25.38,25.73,0.11,535901,13805816,526
2025-09-01,TWSE,00731,復華富時高息低波,66.00,66.25,65.75,65.95,-0.05,874408,57644206,386
2025-09-01,TWSE,00733,富邦臺灣中小,47.77,47.77,45.96,46.60,-1.11,2237864,104649656,2081
2025-09-01,TWSE,00735,國泰臺韓科技,37.42,37.42,36.94,36.96,-0.64,178827,6614469,113
2025-09-01,TWSE,00736,國泰新興市場,25.15,25.18,25.08,25.09,-0.02,107484,2696078,19
2025-09-01,TWSE,00737,國泰AI機器人,34.15,34.15,33.94,33.95,-0.12,126744,4312882,184
2025-09-01,TWSE,00738U,期元大道瓊白銀,33.77,34.40,33.70,34.36,1.63,6366686,217084032,1612
2025-09-01,TWSE,00739,元大MSCI A股,25.50,25.58,25.40,25.52,0.14,58015,1477476,148
2025-09-01,TWSE,00752,中信中國50,25.31,25.70,25.31,25.53,0.49,16353523,417284306,1395
2025-09-01,TWSE,00753L,中信中國50正2,12.34,12.58,12.34,12.54,0.48,41608929,519818283,5092
2025-09-01,TWSE,00757,統一FANG+,111.50,111.95,111.25,111.35,-1.60,4196437,468720963,5822
2025-09-01,TWSE,00762,元大全球AI,75.85,75.85,75.25,75.35,-1.10,444512,33552535,1665
2025-09-01,TWSE,00763U,期街口道瓊銅,25.40,25.50,25.35,25.49,0.28,1290955,32814246,409
2025-09-01,TWSE,00770,國泰北美科技,50.35,50.40,50.15,50.20,-0.40,483800,24331422,1780
2025-09-01,TWSE,00771,元大US高息特別股,15.89,15.89,15.84,15.89,0.00,5503,87088,69
2025-09-01,TWSE,00775B,台新投等債15+,31.32,31.32,31.10,31.10,-0.22,3982,123776,85
2025-09-01,TWSE,00783,富邦中証500,23.32,23.41,23.25,23.35,0.24,300429,7013681,111
