date,market,code,name,open,high,low,close,change,volume,value,transactions
2025-11-13,TWSE,0050,元大台灣50,62.80,62.95,62.60,62.90,-0.30,80483242,5053859324,89344
2025-11-13,TWSE,0051,元大中型100,92.45,93.50,92.45,93.20,0.90,106219,9868757,349
2025-11-13,TWSE,0052,富邦科技,253.60,254.35,252.85,254.10,-1.20,1651809,418785655,6198
2025-11-13,TWSE,0053,元大電子,139.65,139.65,138.50,139.15,-0.60,16531,2300086,98
2025-11-13,TWSE,0055,元大MSCI金融,31.00,31.05,30.92,30.94,-0.01,185895,5756245,354
2025-11-13,TWSE,0056,元大高股息,36.48,36.60,36.43,36.51,0.05,21499061,784796898,15342
2025-11-13,TWSE,0057,富邦摩台,183.45,184.25,182.75,184.25,-0.75,14314,2627117,125
2025-11-13,TWSE,0061,元大寶滬深,22.47,22.77,22.47,22.71,0.25,310247,7033712,234
2025-11-13,TWSE,006203,元大MSCI台灣,113.90,113.90,113.20,113.60,-1.30,15579,1767635,105
2025-11-13,TWSE,006204,永豐臺灣加權,141.55,141.55,140.75,141.35,-0.20,15487,2187744,119
2025-11-13,TWSE,006205,富邦上証,38.55,39.10,38.55,39.07,0.52,461568,17978237,334
2025-11-13,TWSE,006206,元大上證50,35.95,36.26,35.85,36.20,0.25,196584,7109712,146
2025-11-13,TWSE,006207,復華滬深,29.78,30.20,29.77,30.13,0.46,306474,9215918,143
2025-11-13,TWSE,006208,富邦台50,147.20,147.45,146.65,147.05,-1.00,4684436,689213261,14040
2025-11-13,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2025-11-13,TWSE,00631L,元大台灣50正2,340.00,342.80,337.65,341.80,-1.90,2222307,756886568,3684
2025-11-13,TWSE,00632R,元大台灣50反1,17.16,17.21,17.08,17.10,0.03,26146277,447991759,3377
2025-11-13,TWSE,00633L,富邦上証正2,50.35,51.15,50.10,51.05,0.95,3755525,190391462,672
2025-11-13,TWSE,00634R,富邦上証反1,3.22,3.22,3.20,3.20,-0.03,341000,1091510,21
2025-11-13,TWSE,00635U,期元大S&P黃金,44.95,45.41,44.95,45.38,1.12,8033939,362951593,3949
2025-11-13,TWSE,00636,國泰中國A50,26.40,26.66,26.36,26.66,0.36,921639,24463844,420
2025-11-13,TWSE,00636K,國泰中國A50+U,8.59,8.59,8.59,8.59,0.07,200,1718,2
2025-11-13,TWSE,00637L,元大滬深300正2,20.58,20.87,20.45,20.82,0.41,33307922,689211366,4633
2025-11-13,TWSE,00638R,元大滬深300反1,6.80,6.83,6.75,6.75,-0.06,262000,1772830,50
2025-11-13,TWSE,00639,富邦深100,14.72,15.00,14.72,14.97,0.31,861417,12832576,434
2025-11-13,TWSE,00640L,富邦日本正2,76.10,76.75,76.10,76.25,1.20,419109,31996027,228
2025-11-13,TWSE,00641R,富邦日本反1,4.67,4.67,4.64,4.67,-0.03,1993971,9281778,151
2025-11-13,TWSE,00642U,期元大S&P石油,15.24,15.30,15.20,15.28,-0.56,11200464,170692145,2469
2025-11-13,TWSE,00643,群益深証中小,16.16,16.40,16.16,16.37,0.28,1580433,25775661,253
2025-11-13,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2025-11-13,TWSE,00645,富邦日本,47.06,47.28,47.06,47.13,0.42,157035,7404632,301
2025-11-13,TWSE,00646,元大S&P500,66.70,67.00,66.60,66.95,0.15,6269590,419365591,2379
2025-11-13,TWSE,00647L,元大S&P500正2,116.50,117.60,116.50,117.60,0.40,72748,8534722,108
2025-11-13,TWSE,00648R,元大S&P500反1,4.35,4.35,4.32,4.33,-0.01,304453,1318059,47
2025-11-13,TWSE,00650L,復華香港正2,19.14,19.24,19.01,19.09,0.01,6519152,124777449,714
2025-11-13,TWSE,00651R,復華香港反1,5.12,5.12,5.10,5.11,-0.01,452849,2317390,39
2025-11-13,TWSE,00652,富邦印度,37.42,37.42,37.28,37.38,0.11,336346,12552093,307
2025-11-13,TWSE,00653L,富邦印度正2,58.15,58.70,58.10,58.70,0.30,198515,11576654,109
2025-11-13,TWSE,00654R,富邦印度反1,6.21,6.21,6.21,6.21,0.00,2075,12883,4
2025-11-13,TWSE,00655L,國泰中國A50正2,35.15,35.62,34.90,35.58,0.69,2159584,76166413,421
2025-11-13,TWSE,00656R,國泰中國A50反1,6.03,6.04,5.99,5.99,-0.06,331050,1994081,34
2025-11-13,TWSE,00657,國泰日經225,60.30,60.40,60.20,60.20,0.20,262457,15811687,80
2025-11-13,TWSE,00657K,國泰日經225+U,19.37,19.37,19.37,19.37,0.07,200,3874,2
2025-11-13,TWSE,00660,元大歐洲50,41.72,42.00,41.72,41.93,0.36,27356,1147661,130
2025-11-13,TWSE,00661,元大日經225,65.80,66.20,65.80,66.10,0.45,86661,5719848,171
2025-11-13,TWSE,00662,富邦NASDAQ,101.80,102.30,101.65,102.10,-0.05,4215862,430144495,2177
2025-11-13,TWSE,00663L,國泰臺灣加權正2,44.31,44.64,44.00,44.50,-0.28,4960698,219938751,2836
2025-11-13,TWSE,00664R,國泰臺灣加權反1,2.76,2.78,2.76,2.77,0.01,10765399,29827924,314
2025-11-13,TWSE,00665L,富邦恒生國企正2,12.23,12.25,12.09,12.18,0.02,15573000,189584791,1876
2025-11-13,TWSE,00666R,富邦恒生國企反1,8.38,8.40,8.36,8.40,0.02,177027,1483365,16
2025-11-13,TWSE,00668,國泰美國道瓊,54.45,55.10,54.45,54.95,0.75,3063734,168144008,475
2025-11-13,TWSE,00668K,國泰美國道瓊+U,17.60,17.60,17.60,17.60,0.13,200,3520,2
2025-11-13,TWSE,00669R,國泰美國道瓊反1,5.68,5.68,5.65,5.66,-0.04,2681535,15188090,322
2025-11-13,TWSE,00670L,富邦NASDAQ正2,166.55,168.20,166.55,168.15,-0.20,661164,110896102,1361
2025-11-13,TWSE,00671R,富邦NASDAQ反1,2.84,2.84,2.82,2.83,0.01,3572715,10106975,146
2025-11-13,TWSE,00673R,期元大S&P原油反1,28.26,28.35,28.20,28.25,1.05,5848917,165386532,1068
2025-11-13,TWSE,00674R,期元大S&P黃金反1,6.06,6.08,6.02,6.03,-0.16,2543346,15379130,393
2025-11-13,TWSE,00675L,富邦臺灣加權正2,135.25,136.05,134.05,135.75,-0.80,1550534,209763502,1641
2025-11-13,TWSE,00676R,富邦臺灣加權反1,9.40,9.44,9.38,9.41,0.03,785863,7392617,140
2025-11-13,TWSE,00678,群益那斯達克生技,33.31,33.37,33.31,33.37,0.23,358810,11964036,163
2025-11-13,TWSE,00680L,元大美債20正2,7.61,7.62,7.60,7.60,0.03,16717521,127226768,944
2025-11-13,TWSE,00681R,元大美債20反1,20.27,20.27,20.27,20.27,-0.04,28000,567560,4
