date,market,code,name,open,high,low,close,change,volume,value,transactions
2025-12-02,TWSE,0050,元大台灣50,61.80,62.20,61.65,61.70,0.20,43152711,2670762886,33675
2025-12-02,TWSE,0051,元大中型100,89.90,90.25,89.55,89.55,0.05,53292,4785696,290
2025-12-02,TWSE,0052,富邦科技,35.65,35.80,35.39,35.41,0.05,34447663,1224766210,19678
2025-12-02,TWSE,0053,元大電子,133.30,134.45,132.50,132.50,-0.80,13718,1830743,113
2025-12-02,TWSE,0055,元大MSCI金融,29.49,29.80,29.49,29.78,0.31,208509,6199604,287
2025-12-02,TWSE,0056,元大高股息,36.02,36.24,36.02,36.11,0.11,23109627,836198337,12053
2025-12-02,TWSE,0057,富邦摩台,183.00,183.05,181.35,181.35,-0.05,17000,3093613,88
2025-12-02,TWSE,0061,元大寶滬深,22.50,22.58,22.42,22.42,0.00,92121,2073126,167
2025-12-02,TWSE,006203,元大MSCI台灣,112.55,113.25,111.70,111.70,-0.30,5894,662309,92
2025-12-02,TWSE,006204,永豐臺灣加權,140.25,140.25,140.25,140.25,0.90,2212,310031,63
2025-12-02,TWSE,006205,富邦上証,38.46,38.53,38.22,38.23,-0.14,151493,5814516,212
2025-12-02,TWSE,006206,元大上證50,35.75,36.00,35.71,35.75,0.02,54061,1938353,101
2025-12-02,TWSE,006207,復華滬深,29.91,29.92,29.69,29.69,-0.04,231186,6892382,81
2025-12-02,TWSE,006208,富邦台50,141.75,142.40,141.05,141.35,0.65,1827387,259022082,5158
2025-12-02,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2025-12-02,TWSE,00631L,元大台灣50正2,333.65,335.95,329.85,330.35,2.90,2646272,881596683,3669
2025-12-02,TWSE,00632R,元大台灣50反1,17.20,17.30,17.13,17.30,-0.06,31043756,534361329,4994
2025-12-02,TWSE,00633L,富邦上証正2,49.13,49.36,48.65,48.70,0.23,2707607,132934403,789
2025-12-02,TWSE,00634R,富邦上証反1,3.26,3.28,3.25,3.27,-0.01,182000,594680,15
2025-12-02,TWSE,00635U,期元大S&P黃金,45.40,45.43,45.05,45.38,-0.04,4635443,209847626,1774
2025-12-02,TWSE,00636,國泰中國A50,26.52,26.56,26.50,26.54,0.13,2751202,72968513,296
2025-12-02,TWSE,00636K,國泰中國A50+U,8.45,8.45,8.45,8.45,0.01,200,1690,2
2025-12-02,TWSE,00637L,元大滬深300正2,20.15,20.26,19.96,19.96,0.07,39233480,789643904,3615
2025-12-02,TWSE,00638R,元大滬深300反1,6.93,6.98,6.92,6.98,0.00,200000,1390850,15
2025-12-02,TWSE,00639,富邦深100,14.92,14.93,14.82,14.82,0.01,865307,12873750,306
2025-12-02,TWSE,00640L,富邦日本正2,74.45,75.00,74.25,74.45,0.00,471049,35108079,80
2025-12-02,TWSE,00641R,富邦日本反1,4.70,4.70,4.67,4.69,-0.01,810412,3793308,49
2025-12-02,TWSE,00642U,期元大S&P石油,15.53,15.56,15.50,15.52,-0.06,3359245,52131572,456
2025-12-02,TWSE,00643,群益深証中小,16.39,16.39,16.26,16.26,-0.02,2183697,35608356,181
2025-12-02,TWSE,00643K,群益深証中小+R,3.70,3.70,3.70,3.70,0.00,2000,7400,2
2025-12-02,TWSE,00645,富邦日本,46.63,46.81,46.63,46.69,0.06,252888,11819739,270
2025-12-02,TWSE,00646,元大S&P500,66.95,67.30,66.95,67.20,0.20,1089731,73216607,1487
2025-12-02,TWSE,00647L,元大S&P500正2,116.15,116.30,115.75,115.75,0.60,76843,8911584,344
2025-12-02,TWSE,00648R,元大S&P500反1,4.37,4.38,4.36,4.38,-0.01,632317,2765190,66
2025-12-02,TWSE,00650L,復華香港正2,18.13,18.39,18.05,18.05,0.14,5702342,104122935,983
2025-12-02,TWSE,00651R,復華香港反1,5.27,5.27,5.21,5.26,-0.02,830799,4356570,66
2025-12-02,TWSE,00652,富邦印度,37.60,37.60,37.34,37.35,-0.29,238747,8936013,315
2025-12-02,TWSE,00653L,富邦印度正2,59.25,59.35,58.85,58.95,-0.75,122496,7239112,82
2025-12-02,TWSE,00654R,富邦印度反1,6.18,6.22,6.18,6.22,0.06,43330,268426,9
2025-12-02,TWSE,00655L,國泰中國A50正2,34.32,34.45,33.95,34.00,0.16,1010075,34593092,265
2025-12-02,TWSE,00656R,國泰中國A50反1,6.11,6.15,6.11,6.15,-0.02,73000,447810,12
2025-12-02,TWSE,00657,國泰日經225,58.05,58.35,58.05,58.15,0.30,212393,12365220,69
2025-12-02,TWSE,00657K,國泰日經225+U,18.52,18.52,18.52,18.52,0.04,200,3704,2
