date,market,code,name,open,high,low,close,change,volume,value,transactions
2023-02-07,TWSE,0050,元大台灣50,119.10,119.25,118.55,119.00,-0.25,8787291,1045314027,13540
2023-02-07,TWSE,0051,元大中型100,55.10,55.15,54.80,55.05,0.20,37425,2059950,153
2023-02-07,TWSE,0052,富邦科技,104.90,105.60,104.90,105.25,-0.35,201337,21183818,462
2023-02-07,TWSE,0053,元大電子,58.70,58.70,58.50,58.50,-0.10,5568,325654,485
2023-02-07,TWSE,0055,元大MSCI金融,22.30,22.37,22.25,22.31,0.01,95034,2118958,258
2023-02-07,TWSE,0056,元大高股息,26.91,26.96,26.85,26.94,0.02,11749214,316284374,9026
2023-02-07,TWSE,0057,富邦摩台,86.55,86.55,86.05,86.30,-0.10,4607,397371,465
2023-02-07,TWSE,0061,元大寶滬深,19.40,19.52,19.40,19.46,0.01,176450,3439263,349
2023-02-07,TWSE,006203,元大MSCI台灣,57.60,57.60,57.50,57.60,-0.15,4780,274714,755
2023-02-07,TWSE,006204,永豐臺灣加權,77.30,77.35,77.30,77.35,-0.10,23901,1846537,335
2023-02-07,TWSE,006205,富邦上証,32.30,32.65,32.30,32.55,0.28,1221099,39778592,654
2023-02-07,TWSE,006206,元大上證50,31.00,31.30,31.00,31.09,0.10,52278,1630447,1057
2023-02-07,TWSE,006207,復華滬深,25.53,25.65,25.53,25.57,0.17,43400,1111007,703
2023-02-07,TWSE,006208,富邦台50,68.90,69.00,68.55,68.85,-0.15,2770050,190509851,5765
2023-02-07,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2023-02-07,TWSE,00631L,元大台灣50正2,110.50,111.35,110.20,110.70,0.00,2313198,256253112,1379
2023-02-07,TWSE,00632R,元大台灣50反1,5.41,5.42,5.39,5.41,0.01,60687961,327927059,3794
2023-02-07,TWSE,00633L,富邦上証正2,41.09,41.80,41.09,41.33,0.70,6851239,284199197,1451
2023-02-07,TWSE,00634R,富邦上証反1,4.33,4.33,4.28,4.30,-0.03,73100,313800,26
2023-02-07,TWSE,00635U,期元大S&P黃金,23.89,23.97,23.89,23.96,-0.05,126996,3040206,128
2023-02-07,TWSE,00636,國泰中國A50,22.20,22.42,22.20,22.30,0.14,921568,20596082,678
2023-02-07,TWSE,00636K,國泰中國A50+U,7.42,7.42,7.42,7.42,0.04,200,1484,2
2023-02-07,TWSE,00637L,元大滬深300正2,16.16,16.49,16.16,16.28,0.27,42737349,698526300,6662
2023-02-07,TWSE,00638R,元大滬深300反1,9.07,9.07,8.99,9.04,-0.03,2341300,21101537,94
2023-02-07,TWSE,00639,富邦深100,13.45,13.58,13.45,13.53,0.10,509080,6888628,794
2023-02-07,TWSE,00640L,富邦日本正2,29.50,29.55,29.33,29.39,0.16,95409,2812250,48
2023-02-07,TWSE,00641R,富邦日本反1,9.45,9.49,9.43,9.49,0.02,448030,4238305,63
2023-02-07,TWSE,00642U,期元大S&P石油,15.79,15.90,15.77,15.90,0.32,6289923,99752251,1346
2023-02-07,TWSE,00643,群益深証中小,15.67,15.79,15.67,15.69,0.02,136646,2150394,474
2023-02-07,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2023-02-07,TWSE,00645,富邦日本,26.48,26.50,26.41,26.41,0.03,61176,1619429,555
2023-02-07,TWSE,00646,元大S&P500,38.10,38.21,38.10,38.14,0.05,969081,36968454,900
2023-02-07,TWSE,00647L,元大S&P500正2,56.05,56.05,55.80,55.85,0.05,124375,6961999,48
2023-02-07,TWSE,00648R,元大S&P500反1,7.02,7.04,7.01,7.04,0.00,2198240,15437720,119
2023-02-07,TWSE,00650L,復華香港正2,15.18,15.62,15.18,15.41,0.36,5978049,92525356,869
2023-02-07,TWSE,00651R,復華香港反1,7.95,7.95,7.81,7.88,-0.07,2312000,18151300,238
2023-02-07,TWSE,00652,富邦印度,28.72,28.86,28.72,28.77,0.08,400700,11532715,462
2023-02-07,TWSE,00653L,富邦印度正2,42.94,43.19,42.70,42.86,0.36,786884,33802161,247
2023-02-07,TWSE,00654R,富邦印度反1,8.02,8.04,8.00,8.04,-0.01,204000,1635050,33
2023-02-07,TWSE,00655L,國泰中國A50正2,29.09,29.75,29.09,29.35,0.46,1457650,42946739,480
2023-02-07,TWSE,00656R,國泰中國A50反1,8.15,8.15,8.06,8.09,-0.04,398000,3220190,29
2023-02-07,TWSE,00657,國泰日經225,32.83,32.83,32.80,32.80,-0.18,140327,4603402,283
2023-02-07,TWSE,00657K,國泰日經225+U,10.93,10.93,10.93,10.93,-0.07,200,2186,2
2023-02-07,TWSE,00660,元大歐洲50,30.89,30.92,30.80,30.92,-0.07,5812,178903,617
2023-02-07,TWSE,00661,元大日經225,35.30,35.30,35.30,35.30,-0.05,2890,100889,862
2023-02-07,TWSE,00662,富邦NASDAQ,48.06,48.19,48.06,48.12,0.12,1054330,50740974,915
2023-02-07,TWSE,00663L,國泰臺灣加權正2,101.40,102.15,101.35,101.70,0.25,494000,50217100,24
2023-02-07,TWSE,00664R,國泰臺灣加權反1,6.11,6.12,6.09,6.11,0.00,6541386,39928507,244
2023-02-07,TWSE,00665L,富邦恒生國企正2,9.48,9.80,9.48,9.67,0.30,20503231,198568245,2222
2023-02-07,TWSE,00666R,富邦恒生國企反1,13.67,13.67,13.51,13.64,-0.15,458000,6226890,55
2023-02-07,TWSE,00668,國泰美國道瓊,36.88,36.97,36.88,36.92,0.24,143122,5287778,332
2023-02-07,TWSE,00668K,國泰美國道瓊+U,12.30,12.30,12.30,12.30,0.03,200,2460,2
2023-02-07,TWSE,00669R,國泰美國道瓊反1,7.84,7.85,7.82,7.85,-0.01,6147979,48159162,321
2023-02-07,TWSE,00670L,富邦NASDAQ正2,62.20,62.40,61.95,62.15,0.05,1751278,108922826,681
2023-02-07,TWSE,00671R,富邦NASDAQ反1,5.83,5.83,5.81,5.82,-0.01,9433923,54890134,449
2023-02-07,TWSE,00673R,期元大S&P原油反1,9.15,9.16,9.08,9.09,-0.17,21115055,192372495,1374
2023-02-07,TWSE,00674R,期元大S&P黃金反1,12.59,12.60,12.57,12.59,0.04,693103,8723616,138
2023-02-07,TWSE,00675L,富邦臺灣加權正2,44.22,44.46,44.10,44.30,0.06,686271,30381760,347
2023-02-07,TWSE,00676R,富邦臺灣加權反1,3.37,3.37,3.35,3.37,0.01,3772100,12678987,225
2023-02-07,TWSE,00678,群益那斯達克生技,26.20,26.20,26.12,26.16,0.08,317514,8304500,125
2023-02-07,TWSE,00680L,元大美債20正2,12.28,12.31,12.23,12.29,-0.14,14429394,176918387,2164
2023-02-07,TWSE,00681R,元大美債20反1,17.67,17.71,17.66,17.69,0.12,259000,4582049,45
2023-02-07,TWSE,00682U,期元大美元指數,20.59,20.59,20.55,20.57,0.08,391501,8050008,123
2023-02-07,TWSE,00683L,期元大美元指正2,21.64,21.64,21.56,21.62,0.19,3481526,75209017,647
2023-02-07,TWSE,00684R,期元大美元指反1,16.05,16.07,16.05,16.06,0.01,18000,289190,6
2023-02-07,TWSE,00685L,群益臺灣加權正2,39.19,39.45,39.09,39.26,0.04,98550,3867744,74
2023-02-07,TWSE,00686R,群益臺灣加權反1,3.65,3.66,3.64,3.64,0.00,451020,1645853,21
2023-02-07,TWSE,00688L,國泰20年美債正2,12.12,12.18,12.10,12.16,-0.12,2374000,28815080,363
2023-02-07,TWSE,00689R,國泰20年美債反1,18.32,18.33,18.28,18.30,0.11,155000,2839480,8
2023-02-07,TWSE,00690,兆豐藍籌30,27.10,27.29,27.09,27.10,-0.08,176701,4795730,817
2023-02-07,TWSE,00692,富邦公司治理,29.35,29.40,29.25,29.31,-0.09,1757581,51536816,1813
2023-02-07,TWSE,00693U,期街口S&P黃豆,27.07,27.07,26.90,27.00,-0.09,10252,276253,9
2023-02-07,TWSE,00700,富邦恒生國企,13.67,13.81,13.67,13.76,0.22,91305,1256858,697
2023-02-07,TWSE,00701,國泰股利精選30,22.17,22.23,22.15,22.18,0.02,976905,21667297,803
2023-02-07,TWSE,00702,國泰標普低波高息,21.72,21.73,21.72,21.72,0.01,102733,2230941,600
2023-02-07,TWSE,00703,台新MSCI中國,17.12,17.25,17.06,17.25,0.38,75182,1293039,667
2023-02-07,TWSE,00706L,期元大S&P日圓正2,10.11,10.15,10.10,10.14,-0.07,3091773,31305284,392
2023-02-07,TWSE,00707R,期元大S&P日圓反1,23.74,23.75,23.70,23.72,0.08,27000,640650,14
2023-02-07,TWSE,00708L,期元大S&P黃金正2,25.65,25.78,25.65,25.75,-0.07,963739,24773523,166
2023-02-07,TWSE,00709,富邦歐洲,23.77,23.80,23.77,23.78,-0.03,41910,995918,961
2023-02-07,TWSE,00710B,復華彭博非投等債,17.74,17.74,17.72,17.72,-0.03,182349,3233528,83
2023-02-07,TWSE,00711B,復華彭博新興債,16.39,16.39,16.30,16.32,-0.12,108792,1777413,40
2023-02-07,TWSE,00712,復華富時不動產,10.90,10.91,10.85,10.89,-0.21,7765152,84457826,4472
2023-02-07,TWSE,00713,元大台灣高息低波,38.40,38.50,38.36,38.50,0.10,3427766,131706831,2382
2023-02-07,TWSE,00714,群益道瓊美國地產,19.86,19.86,19.65,19.69,0.00,239774,4723138,167
2023-02-07,TWSE,00715L,期街口布蘭特正2,13.74,13.97,13.69,13.97,0.56,34752545,481579665,4117
2023-02-07,TWSE,00717,富邦美國特別股,15.22,15.22,15.17,15.20,-0.09,272138,4132833,1016
2023-02-07,TWSE,00728,第一金工業30,23.11,23.18,23.08,23.12,-0.03,658461,15219318,563
2023-02-07,TWSE,00730,富邦臺灣優質高息,18.28,18.36,18.27,18.36,0.08,260922,4780224,348
2023-02-07,TWSE,00731,復華富時高息低波,55.20,55.40,55.20,55.35,0.20,1060852,58668352,205
2023-02-07,TWSE,00732,國泰RMB短期報酬,40.64,40.64,40.64,40.64,0.15,100000,4064000,4
2023-02-07,TWSE,00733,富邦臺灣中小,35.23,35.42,35.21,35.40,0.27,331553,11706986,328
2023-02-07,TWSE,00735,國泰臺韓科技,26.31,26.44,26.31,26.44,-0.06,113791,3004774,682
2023-02-07,TWSE,00736,國泰新興市場,19.78,19.78,19.78,19.78,0.00,104583,2068197,588
2023-02-07,TWSE,00737,國泰AI機器人,27.62,27.62,27.53,27.55,-0.09,71925,1983221,699
2023-02-07,TWSE,00738U,期元大道瓊白銀,22.12,22.18,22.09,22.17,-0.10,510417,11293247,149
2023-02-07,TWSE,00739,元大MSCI A股,23.93,24.07,23.93,23.97,0.09,227722,5465748,688
2023-02-07,TWSE,00752,中信中國50,19.47,19.97,19.47,19.86,0.40,1481601,29376268,607
2023-02-07,TWSE,00753L,中信中國50正2,12.68,13.12,12.68,13.00,0.43,12110806,156997999,2176
2023-02-07,TWSE,00757,統一FANG+,41.15,41.27,41.05,41.21,0.03,588817,24259383,732
2023-02-07,TWSE,00762,元大全球AI,35.84,35.84,35.37,35.38,-0.22,284225,10113998,245
2023-02-07,TWSE,00763U,期街口道瓊銅,25.58,25.67,25.58,25.64,-0.08,41000,1050990,16
2023-02-07,TWSE,00770,國泰北美科技,27.38,27.48,27.38,27.43,0.02,609383,16708885,275
2023-02-07,TWSE,00771,元大US高息特別股,17.15,17.15,17.11,17.14,-0.02,32219,551911,788
