date,market,code,name,open,high,low,close,change,volume,value,transactions
2023-11-09,TWSE,0050,元大台灣50,126.90,127.40,126.65,127.25,0.05,6557452,833538185,6909
2023-11-09,TWSE,0051,元大中型100,69.75,70.00,69.70,70.00,0.00,82588,5768856,198
2023-11-09,TWSE,0052,富邦科技,118.65,119.30,118.45,119.20,0.25,232572,27643644,301
2023-11-09,TWSE,0053,元大電子,68.40,68.50,68.00,68.45,-0.05,12263,836284,970
2023-11-09,TWSE,0055,元大MSCI金融,23.59,23.65,23.59,23.60,0.01,70326,1660077,233
2023-11-09,TWSE,0056,元大高股息,34.54,34.60,34.45,34.55,0.01,16915146,584030449,9619
2023-11-09,TWSE,0057,富邦摩台,,,,,0.00,0,0,0
2023-11-09,TWSE,0061,元大寶滬深,17.50,17.50,17.45,17.46,-0.04,45709,798162,804
2023-11-09,TWSE,006203,元大MSCI台灣,61.60,61.65,61.60,61.65,0.05,3033,186151,919
2023-11-09,TWSE,006204,永豐臺灣加權,83.70,83.75,83.60,83.70,-0.20,11604,970857,11
2023-11-09,TWSE,006205,富邦上証,29.61,29.70,29.55,29.58,-0.04,307215,9106067,121
2023-11-09,TWSE,006206,元大上證50,28.48,28.59,28.46,28.49,-0.03,29021,827871,914
2023-11-09,TWSE,006207,復華滬深,23.02,23.03,22.92,22.98,-0.01,227320,5229322,975
2023-11-09,TWSE,006208,富邦台50,73.25,73.55,73.15,73.45,0.10,3631326,266294611,3354
2023-11-09,TWSE,00625K,富邦上証+R,,,,,0.00,0,0,0
2023-11-09,TWSE,00631L,元大台灣50正2,133.00,133.90,132.55,133.65,0.15,2728356,363663274,1672
2023-11-09,TWSE,00632R,元大台灣50反1,4.80,4.82,4.78,4.78,-0.01,59083549,283375828,2411
2023-11-09,TWSE,00633L,富邦上証正2,33.76,34.06,33.65,33.73,-0.03,1480159,50030576,420
2023-11-09,TWSE,00634R,富邦上証反1,4.76,4.76,4.74,4.74,0.00,111008,527468,26
2023-11-09,TWSE,00635U,期元大S&P黃金,23.93,23.98,23.90,23.91,-0.22,246576,5899514,162
2023-11-09,TWSE,00636,國泰中國A50,20.25,20.30,20.22,20.23,-0.03,573469,11611538,827
2023-11-09,TWSE,00636K,國泰中國A50+U,6.28,6.28,6.28,6.28,-0.03,200,1256,2
2023-11-09,TWSE,00637L,元大滬深300正2,13.49,13.60,13.44,13.47,0.01,21933618,296430327,2237
2023-11-09,TWSE,00638R,元大滬深300反1,10.11,10.11,10.08,10.09,0.00,39000,394070,16
2023-11-09,TWSE,00639,富邦深100,11.19,11.22,11.13,11.15,-0.02,155680,1738614,817
2023-11-09,TWSE,00640L,富邦日本正2,40.56,41.50,40.56,41.50,0.93,342398,14033353,149
2023-11-09,TWSE,00641R,富邦日本反1,7.83,7.83,7.74,7.74,-0.08,414601,3223302,80
2023-11-09,TWSE,00642U,期元大S&P石油,16.72,16.83,16.68,16.71,-0.33,7637359,127809080,2862
2023-11-09,TWSE,00643,群益深証中小,12.69,12.73,12.63,12.67,-0.03,115871,1470210,34
2023-11-09,TWSE,00643K,群益深証中小+R,,,,,0.00,0,0,0
2023-11-09,TWSE,00645,富邦日本,31.55,31.92,31.55,31.92,0.34,287071,9105786,129
2023-11-09,TWSE,00646,元大S&P500,43.76,43.87,43.76,43.78,0.06,1242848,54422728,439
2023-11-09,TWSE,00647L,元大S&P500正2,60.85,60.90,60.75,60.80,0.20,92328,5613372,36
2023-11-09,TWSE,00648R,元大S&P500反1,6.80,6.81,6.79,6.80,-0.01,595005,4044434,61
2023-11-09,TWSE,00650L,復華香港正2,10.37,10.39,10.19,10.27,-0.11,7244327,74493399,900
2023-11-09,TWSE,00651R,復華香港反1,9.21,9.30,9.21,9.27,0.07,1488004,13797027,71
2023-11-09,TWSE,00652,富邦印度,32.69,32.75,32.66,32.66,0.04,81210,2655624,1046
2023-11-09,TWSE,00653L,富邦印度正2,47.11,47.20,47.02,47.04,0.01,70211,3309351,39
2023-11-09,TWSE,00654R,富邦印度反1,7.66,7.69,7.66,7.69,0.01,95039,730308,13
2023-11-09,TWSE,00655L,國泰中國A50正2,23.37,23.60,23.32,23.41,0.02,1477950,34654752,302
2023-11-09,TWSE,00656R,國泰中國A50反1,8.99,9.00,8.98,8.98,0.01,44000,395590,9
2023-11-09,TWSE,00657,國泰日經225,38.03,38.50,38.03,38.45,0.54,513330,19651656,187
2023-11-09,TWSE,00657K,國泰日經225+U,11.85,11.85,11.85,11.85,0.13,200,2370,2
2023-11-09,TWSE,00660,元大歐洲50,30.59,30.59,30.59,30.59,0.15,2024,61324,994
2023-11-09,TWSE,00661,元大日經225,41.36,41.62,41.35,41.62,0.47,2171346,90065093,474
2023-11-09,TWSE,00662,富邦NASDAQ,63.25,63.35,63.25,63.35,0.15,965466,61113886,452
2023-11-09,TWSE,00663L,國泰臺灣加權正2,124.00,124.00,122.80,123.50,-0.05,6251,771774,5
2023-11-09,TWSE,00664R,國泰臺灣加權反1,5.41,5.42,5.39,5.39,-0.01,1521842,8226099,131
2023-11-09,TWSE,00665L,富邦恒生國企正2,6.62,6.65,6.51,6.54,-0.10,26733331,175562996,2258
2023-11-09,TWSE,00666R,富邦恒生國企反1,15.84,15.97,15.82,15.93,0.10,187002,2971331,19
2023-11-09,TWSE,00668,國泰美國道瓊,39.89,39.93,39.89,39.92,0.08,37497,1495363,697
2023-11-09,TWSE,00668K,國泰美國道瓊+U,12.37,12.37,12.37,12.37,0.01,200,2474,2
2023-11-09,TWSE,00669R,國泰美國道瓊反1,8.08,8.09,8.08,8.09,0.00,3028004,24488642,100
2023-11-09,TWSE,00670L,富邦NASDAQ正2,83.45,83.80,83.45,83.80,0.30,790275,66115747,495
2023-11-09,TWSE,00671R,富邦NASDAQ反1,4.79,4.80,4.78,4.79,-0.01,6967753,33385754,307
2023-11-09,TWSE,00673R,期元大S&P原油反1,8.17,8.22,8.14,8.21,0.17,46839032,383302488,3080
2023-11-09,TWSE,00674R,期元大S&P黃金反1,12.51,12.54,12.48,12.54,0.10,1267091,15849771,134
2023-11-09,TWSE,00675L,富邦臺灣加權正2,53.80,54.10,53.55,54.05,0.05,898423,48374311,604
2023-11-09,TWSE,00676R,富邦臺灣加權反1,2.99,2.99,2.97,2.98,0.00,5198362,15497074,175
2023-11-09,TWSE,00678,群益那斯達克生技,24.79,24.79,24.54,24.57,-0.31,207163,5083539,972
2023-11-09,TWSE,00680L,元大美債20正2,8.35,8.40,8.33,8.37,0.28,50658316,423746209,5567
2023-11-09,TWSE,00681R,元大美債20反1,21.20,21.21,21.13,21.20,-0.34,428000,9058950,147
2023-11-09,TWSE,00682U,期元大美元指數,21.19,21.19,21.16,21.17,-0.02,82000,1735610,12
2023-11-09,TWSE,00683L,期元大美元指正2,22.89,22.89,22.86,22.87,-0.05,325100,7433567,35
2023-11-09,TWSE,00684R,期元大美元指反1,15.47,15.47,15.47,15.47,-0.01,11000,170170,2
2023-11-09,TWSE,00685L,群益臺灣加權正2,47.86,48.18,47.72,48.11,0.10,63972,3066887,43
2023-11-09,TWSE,00686R,群益臺灣加權反1,3.22,3.23,3.21,3.23,0.00,237100,764623,19
2023-11-09,TWSE,00688L,國泰20年美債正2,8.28,8.34,8.27,8.30,0.27,15278357,126802508,1887
2023-11-09,TWSE,00689R,國泰20年美債反1,22.01,22.02,21.94,21.98,-0.39,87000,1912130,20
2023-11-09,TWSE,00690,兆豐藍籌30,28.41,28.43,28.35,28.41,0.00,448959,12740445,1112
2023-11-09,TWSE,00692,富邦公司治理,31.68,31.79,31.64,31.77,0.06,2132381,67643566,1244
2023-11-09,TWSE,00693U,期街口S&P黃豆,28.16,28.28,28.15,28.28,-0.11,75300,2127522,34
2023-11-09,TWSE,00700,富邦恒生國企,12.27,12.29,12.19,12.21,-0.08,112734,1381618,1015
2023-11-09,TWSE,00701,國泰股利精選30,25.15,25.22,25.10,25.19,0.02,696704,17545650,318
2023-11-09,TWSE,00702,國泰標普低波高息,20.27,20.29,20.27,20.29,-0.06,112060,2272209,982
2023-11-09,TWSE,00703,台新MSCI中國,15.09,15.12,15.09,15.12,-0.06,2553,38505,555
2023-11-09,TWSE,00706L,期元大S&P日圓正2,7.15,7.16,7.14,7.15,-0.04,6009187,42967089,632
2023-11-09,TWSE,00707R,期元大S&P日圓反1,28.01,28.09,28.01,28.08,0.09,6000,168350,5
2023-11-09,TWSE,00708L,期元大S&P黃金正2,25.57,25.62,25.43,25.43,-0.53,808676,20633495,248
2023-11-09,TWSE,00709,富邦歐洲,24.95,25.01,24.95,25.01,0.11,106861,2668944,878
2023-11-09,TWSE,00710B,復華彭博非投等債,18.75,18.85,18.75,18.84,0.08,468172,8810833,97
2023-11-09,TWSE,00711B,復華彭博新興債,15.47,15.48,15.42,15.48,0.15,135092,2089259,387
2023-11-09,TWSE,00712,復華富時不動產,9.32,9.32,9.30,9.31,0.06,15401525,143385926,3573
2023-11-09,TWSE,00713,元大台灣高息低波,48.19,48.28,48.04,48.23,0.04,3549845,170933676,3342
2023-11-09,TWSE,00714,群益道瓊美國地產,17.66,17.70,17.66,17.70,0.13,237752,4206359,117
2023-11-09,TWSE,00715L,期街口布蘭特正2,14.53,14.70,14.46,14.49,-0.65,59629625,867214096,10656
2023-11-09,TWSE,00717,富邦美國特別股,14.70,14.74,14.70,14.71,0.02,381698,5619645,280
2023-11-09,TWSE,00728,第一金工業30,25.66,25.78,25.62,25.69,-0.03,344173,8840223,162
2023-11-09,TWSE,00730,富邦臺灣優質高息,18.55,18.60,18.00,18.55,0.00,304954,5654221,231
2023-11-09,TWSE,00731,復華富時高息低波,65.10,65.40,65.10,65.40,0.30,565316,36912284,153
2023-11-09,TWSE,00733,富邦臺灣中小,52.05,52.05,51.30,51.55,-0.35,445701,22976931,503
2023-11-09,TWSE,00735,國泰臺韓科技,28.84,28.95,28.84,28.95,-0.04,127320,3678914,961
2023-11-09,TWSE,00736,國泰新興市場,20.07,20.08,20.06,20.08,-0.03,101839,2042257,850
2023-11-09,TWSE,00737,國泰AI機器人,27.72,27.76,27.71,27.74,-0.01,18040,499777,806
2023-11-09,TWSE,00738U,期元大道瓊白銀,21.59,21.63,21.42,21.45,-0.09,226194,4861355,79
2023-11-09,TWSE,00739,元大MSCI A股,21.20,21.21,21.17,21.17,-0.01,9561,201902,982
2023-11-09,TWSE,00752,中信中國50,17.83,17.83,17.69,17.73,-0.07,886891,15739695,262
2023-11-09,TWSE,00753L,中信中國50正2,8.15,8.20,8.04,8.07,-0.09,14887142,120740658,1559
2023-11-09,TWSE,00757,統一FANG+,60.80,60.80,60.60,60.80,0.30,2021051,122752337,1596
2023-11-09,TWSE,00762,元大全球AI,46.17,46.30,46.17,46.27,0.10,114768,5309442,200
